target_type,original_chord_size,reduced_visible_count,held_before,baseline_completion_count,comparable_view_count,target_resolving_view_count,coverage_signature,trials,primary_competing_trials,unique_wrong_views
LongNoteHead,2,1,absent,9,5,0,11111000,1,1,3
LongNoteHead,2,1,present,0,0,0,00000000,2,0,0
LongNoteHead,2,1,present,10,1,0,10000000,1,1,0
LongNoteHead,2,1,present,10,2,0,11000000,10,10,4
LongNoteHead,2,1,present,10,2,1,11000000,4,4,0
LongNoteHead,2,1,present,10,3,0,10001100,1,1,0
LongNoteHead,2,1,present,10,3,0,10101000,2,2,3
LongNoteHead,2,1,present,10,3,0,11001000,1,1,1
LongNoteHead,2,1,present,10,3,0,11100000,5,5,0
LongNoteHead,2,1,present,10,3,1,10001100,1,1,0
LongNoteHead,2,1,present,10,3,1,11001000,1,1,0
LongNoteHead,2,1,present,10,3,1,11100000,4,4,2
LongNoteHead,2,1,present,10,4,0,10101100,1,1,1
LongNoteHead,2,1,present,10,4,0,11001100,9,9,4
LongNoteHead,2,1,present,10,4,0,11101000,4,3,2
LongNoteHead,2,1,present,10,4,0,11110000,13,13,10
LongNoteHead,2,1,present,10,4,1,11001100,9,9,2
LongNoteHead,2,1,present,10,4,1,11101000,1,1,1
LongNoteHead,2,1,present,10,4,1,11110000,6,6,2
LongNoteHead,2,1,present,10,4,2,11001100,1,1,1
LongNoteHead,2,1,present,10,4,2,11110000,2,2,0
LongNoteHead,2,1,present,10,4,3,11110000,1,1,0
LongNoteHead,2,1,present,10,5,0,10111100,4,4,7
LongNoteHead,2,1,present,10,5,0,11101100,2,2,2
LongNoteHead,2,1,present,10,5,0,11111000,1,1,1
LongNoteHead,2,1,present,10,5,1,10111100,2,2,2
LongNoteHead,2,1,present,10,5,1,11101100,3,3,4
LongNoteHead,2,1,present,10,5,1,11111000,1,1,0
LongNoteHead,2,1,present,10,6,0,10111110,1,1,1
LongNoteHead,2,1,present,10,6,0,11111100,13,13,6
LongNoteHead,2,1,present,10,6,1,10111110,1,1,0
LongNoteHead,2,1,present,10,6,1,11111100,29,29,20
LongNoteHead,2,1,present,10,6,2,11111100,2,2,5
LongNoteHead,2,1,present,10,6,3,11111100,5,5,0
LongNoteHead,2,1,present,10,7,0,11111110,6,6,8
LongNoteHead,2,1,present,10,7,1,11111110,4,4,3
LongNoteHead,2,1,present,10,7,2,11111110,1,1,0
LongNoteHead,2,1,present,10,8,4,11111111,4,4,0
LongNoteHead,2,1,present,11,1,0,10000000,11,10,0
LongNoteHead,2,1,present,11,2,0,10100000,3,2,2
LongNoteHead,2,1,present,11,2,0,11000000,37,36,14
LongNoteHead,2,1,present,11,2,1,10100000,1,1,0
LongNoteHead,2,1,present,11,2,1,11000000,4,4,0
LongNoteHead,2,1,present,11,3,0,10001100,8,8,7
LongNoteHead,2,1,present,11,3,0,10101000,2,2,0
LongNoteHead,2,1,present,11,3,0,10110000,6,6,7
LongNoteHead,2,1,present,11,3,0,11001000,3,3,1
LongNoteHead,2,1,present,11,3,0,11100000,12,10,10
LongNoteHead,2,1,present,11,3,1,11001000,1,1,0
LongNoteHead,2,1,present,11,3,1,11100000,2,2,1
LongNoteHead,2,1,present,11,3,2,10001100,1,1,0
LongNoteHead,2,1,present,11,4,0,10101100,1,1,1
LongNoteHead,2,1,present,11,4,0,11001100,30,29,27
LongNoteHead,2,1,present,11,4,0,11101000,8,7,4
LongNoteHead,2,1,present,11,4,0,11110000,28,27,21
LongNoteHead,2,1,present,11,4,1,10101100,2,2,2
LongNoteHead,2,1,present,11,4,1,11001100,13,13,1
LongNoteHead,2,1,present,11,4,1,11101000,5,5,0
LongNoteHead,2,1,present,11,4,1,11110000,15,15,3
LongNoteHead,2,1,present,11,4,2,11001100,3,3,1
LongNoteHead,2,1,present,11,4,2,11110000,4,4,0
LongNoteHead,2,1,present,11,4,3,11001100,1,1,0
LongNoteHead,2,1,present,11,5,0,10111100,25,25,17
LongNoteHead,2,1,present,11,5,0,11101100,4,4,4
LongNoteHead,2,1,present,11,5,0,11111000,11,11,15
LongNoteHead,2,1,present,11,5,1,10111100,3,3,4
LongNoteHead,2,1,present,11,5,1,11101100,5,5,5
LongNoteHead,2,1,present,11,5,1,11111000,4,4,3
LongNoteHead,2,1,present,11,5,2,10111100,1,1,2
LongNoteHead,2,1,present,11,5,2,11111000,1,1,1
LongNoteHead,2,1,present,11,6,0,10111110,5,5,2
LongNoteHead,2,1,present,11,6,0,11111100,59,59,55
LongNoteHead,2,1,present,11,6,1,10111110,2,2,0
LongNoteHead,2,1,present,11,6,1,11111100,94,94,63
LongNoteHead,2,1,present,11,6,2,11111100,10,10,5
LongNoteHead,2,1,present,11,6,3,11111100,5,5,0
LongNoteHead,2,1,present,11,6,4,11111100,1,1,0
LongNoteHead,2,1,present,11,7,0,11111110,28,28,35
LongNoteHead,2,1,present,11,7,1,11111110,16,16,18
LongNoteHead,2,1,present,11,7,2,11111110,5,5,0
LongNoteHead,2,1,present,11,8,0,11111111,4,4,9
LongNoteHead,2,1,present,11,8,1,11111111,2,2,0
LongNoteHead,2,1,present,11,8,2,11111111,2,2,0
LongNoteHead,2,1,present,11,8,3,11111111,2,2,0
LongNoteHead,2,1,present,12,1,0,10000000,85,85,0
LongNoteHead,2,1,present,12,2,0,10001000,31,31,22
LongNoteHead,2,1,present,12,2,0,10100000,35,35,20
LongNoteHead,2,1,present,12,2,0,11000000,279,279,86
LongNoteHead,2,1,present,12,2,1,10001000,6,6,0
LongNoteHead,2,1,present,12,2,1,10100000,6,6,0
LongNoteHead,2,1,present,12,2,1,11000000,52,52,0
LongNoteHead,2,1,present,12,3,0,10001100,23,23,16
LongNoteHead,2,1,present,12,3,0,10101000,28,28,20
LongNoteHead,2,1,present,12,3,0,10110000,7,7,10
LongNoteHead,2,1,present,12,3,0,11001000,121,121,110
LongNoteHead,2,1,present,12,3,0,11100000,108,108,91
LongNoteHead,2,1,present,12,3,1,10001100,1,1,0
LongNoteHead,2,1,present,12,3,1,10101000,6,6,5
LongNoteHead,2,1,present,12,3,1,10110000,2,2,0
LongNoteHead,2,1,present,12,3,1,11001000,52,52,19
