scope,family_key,is_target_candidate,joint_kind,joint_evidence_state,resolutions
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",yes,PreviousNext,MarginalContradictedByJoint,13
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",yes,PreviousNext,MarginalWithoutJointComparable,141
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",yes,PreviousNext,NoMarginalAgreement,508
family,"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",yes,PreviousNext,ObservedJointContext,843
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",no,HeldPrevNext,MarginalContradictedByJoint,2
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",no,HeldPrevNext,MarginalWithoutJointComparable,2
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",no,HeldPrevNext,NoMarginalAgreement,57261
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",no,HeldPrevNext,ObservedJointContext,29
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",no,PreviousNext,MarginalContradictedByJoint,28
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",no,PreviousNext,MarginalWithoutJointComparable,97
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",no,PreviousNext,NoMarginalAgreement,57063
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",no,PreviousNext,ObservedJointContext,106
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",yes,HeldPrevNext,MarginalWithoutJointComparable,75
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",yes,HeldPrevNext,NoMarginalAgreement,7509
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",yes,HeldPrevNext,ObservedJointContext,334
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",yes,PreviousNext,MarginalContradictedByJoint,11
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",yes,PreviousNext,MarginalWithoutJointComparable,140
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",yes,PreviousNext,NoMarginalAgreement,7331
family,"KIKUO | KARA KARA KARA NO KARA | XNETT",yes,PreviousNext,ObservedJointContext,436
family,"MORO | HOLY BITCH | ITZBENJA616",no,HeldPrevNext,NoMarginalAgreement,23831
family,"MORO | HOLY BITCH | ITZBENJA616",no,HeldPrevNext,ObservedJointContext,821
family,"MORO | HOLY BITCH | ITZBENJA616",no,PreviousNext,MarginalContradictedByJoint,361
family,"MORO | HOLY BITCH | ITZBENJA616",no,PreviousNext,MarginalWithoutJointComparable,662
family,"MORO | HOLY BITCH | ITZBENJA616",no,PreviousNext,NoMarginalAgreement,22808
family,"MORO | HOLY BITCH | ITZBENJA616",no,PreviousNext,ObservedJointContext,821
family,"MORO | HOLY BITCH | ITZBENJA616",yes,HeldPrevNext,NoMarginalAgreement,5603
family,"MORO | HOLY BITCH | ITZBENJA616",yes,HeldPrevNext,ObservedJointContext,1417
family,"MORO | HOLY BITCH | ITZBENJA616",yes,PreviousNext,MarginalContradictedByJoint,215
family,"MORO | HOLY BITCH | ITZBENJA616",yes,PreviousNext,MarginalWithoutJointComparable,883
family,"MORO | HOLY BITCH | ITZBENJA616",yes,PreviousNext,NoMarginalAgreement,4505
family,"MORO | HOLY BITCH | ITZBENJA616",yes,PreviousNext,ObservedJointContext,1417
family,"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616",no,HeldPrevNext,MarginalWithoutJointComparable,25
family,"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616",no,HeldPrevNext,NoMarginalAgreement,22665
family,"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616",no,HeldPrevNext,ObservedJointContext,8
family,"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616",no,PreviousNext,MarginalContradictedByJoint,133
family,"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616",no,PreviousNext,MarginalWithoutJointComparable,337
family,"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616",no,PreviousNext,NoMarginalAgreement,22046
family,"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616",no,PreviousNext,ObservedJointContext,182
family,"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616",yes,HeldPrevNext,MarginalWithoutJointComparable,40
family,"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616",yes,HeldPrevNext,NoMarginalAgreement,3493
family,"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616",yes,HeldPrevNext,ObservedJointContext,74
family,"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616",yes,PreviousNext,MarginalContradictedByJoint,38
family,"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616",yes,PreviousNext,MarginalWithoutJointComparable,174
family,"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616",yes,PreviousNext,NoMarginalAgreement,3245
family,"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616",yes,PreviousNext,ObservedJointContext,150
family,"NMK&WATHUE | CELESTIAL AXES | WONKI",no,HeldPrevNext,MarginalContradictedByJoint,11
family,"NMK&WATHUE | CELESTIAL AXES | WONKI",no,HeldPrevNext,MarginalWithoutJointComparable,24
family,"NMK&WATHUE | CELESTIAL AXES | WONKI",no,HeldPrevNext,NoMarginalAgreement,9193
family,"NMK&WATHUE | CELESTIAL AXES | WONKI",no,HeldPrevNext,ObservedJointContext,134
family,"NMK&WATHUE | CELESTIAL AXES | WONKI",no,PreviousNext,MarginalContradictedByJoint,71
family,"NMK&WATHUE | CELESTIAL AXES | WONKI",no,PreviousNext,MarginalWithoutJointComparable,102
family,"NMK&WATHUE | CELESTIAL AXES | WONKI",no,PreviousNext,NoMarginalAgreement,8988
family,"NMK&WATHUE | CELESTIAL AXES | WONKI",no,PreviousNext,ObservedJointContext,201
family,"NMK&WATHUE | CELESTIAL AXES | WONKI",yes,HeldPrevNext,MarginalContradictedByJoint,4
family,"NMK&WATHUE | CELESTIAL AXES | WONKI",yes,HeldPrevNext,MarginalWithoutJointComparable,6
family,"NMK&WATHUE | CELESTIAL AXES | WONKI",yes,HeldPrevNext,NoMarginalAgreement,2422
