transition_kind,exact_gap_beats,local_state,final_action,resolutions
TapHeadToTapHead,0.33433333333333355622222223,LocalMismatch,SkipLocalMismatch,2
TapHeadToTapHead,0.33433333333333355622222223,AmbiguousEvidence,SkipLocalAmbiguity,16
TapHeadToTapHead,0.3343333333333335562222223,LocalMismatch,SkipLocalMismatch,3
TapHeadToTapHead,0.3343333333333335562222223,AmbiguousEvidence,SkipLocalAmbiguity,2
TapHeadToTapHead,0.33471666666666680055333333,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.33471666666666680055333333,AmbiguousEvidence,SkipLocalAmbiguity,4
TapHeadToTapHead,0.33471666666666680055333334,LocalMismatch,SkipLocalMismatch,3
TapHeadToTapHead,0.3740000000000002493333333,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.3740000000000002493333333,AmbiguousEvidence,SkipLocalAmbiguity,15
TapHeadToTapHead,0.37400000000000024933333333,AmbiguousEvidence,SkipLocalAmbiguity,40
TapHeadToTapHead,0.37400000000000024933333334,LocalMismatch,SkipLocalMismatch,2
TapHeadToTapHead,0.37400000000000024933333334,AmbiguousEvidence,SkipLocalAmbiguity,12
TapHeadToTapHead,0.3740000000000002493333334,LocalMismatch,SkipLocalMismatch,4
TapHeadToTapHead,0.3740000000000002493333334,AmbiguousEvidence,SkipLocalAmbiguity,2
TapHeadToTapHead,0.37423333333333352045,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.37423333333333352045,AmbiguousEvidence,SkipLocalAmbiguity,6
TapHeadToTapHead,0.37446666666666704113333333,LocalMismatch,SkipLocalMismatch,2
TapHeadToTapHead,0.37446666666666704113333333,AmbiguousEvidence,SkipLocalAmbiguity,4
TapHeadToTapHead,0.374466666666667041133333333,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.37446666666666704113333334,LocalMismatch,SkipLocalMismatch,2
TapHeadToTapHead,0.37461666666666681651333333,LocalMismatch,SkipLocalMismatch,5
TapHeadToTapHead,0.37461666666666681651333333,AmbiguousEvidence,SkipLocalAmbiguity,6
TapHeadToTapHead,0.374616666666666816513333333,LocalMismatch,SkipLocalMismatch,2
TapHeadToTapHead,0.374616666666666816513333334,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.37461666666666681651333334,LocalMismatch,SkipLocalMismatch,2
TapHeadToTapHead,0.374850000000000037485,LocalMismatch,SkipLocalMismatch,6
TapHeadToTapHead,0.374850000000000037485,AmbiguousEvidence,SkipLocalAmbiguity,20
TapHeadToTapHead,0.37485000000000041233500000,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.37546666666666656654222222,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.37546666666666656654222222,AmbiguousEvidence,SkipLocalAmbiguity,2
TapHeadToTapHead,0.37683333333333348406666667,LocalMismatch,SkipLocalMismatch,3
TapHeadToTapHead,0.3768333333333335845555555,AmbiguousEvidence,SkipLocalAmbiguity,5
TapHeadToTapHead,0.37683333333333358455555555,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.37683333333333358455555555,AmbiguousEvidence,SkipLocalAmbiguity,19
TapHeadToTapHead,0.37683333333333358455555556,LocalMismatch,SkipLocalMismatch,1
TapHeadToTapHead,0.37683333333333358455555556,AmbiguousEvidence,SkipLocalAmbiguity,17
TapHeadToTapHead,0.3768333333333335845555556,LocalMismatch,SkipLocalMismatch,4
TapHeadToTapHead,0.3768333333333335845555556,AmbiguousEvidence,SkipLocalAmbiguity,2
