scope,family_key,transition_kind,local_state,final_action,resolutions
family,"NMK&WATHUE | CELESTIAL AXES | WONKI",LongNoteReleaseToTapHead,LocalMismatch,SkipLocalMismatch,19
family,"NMK&WATHUE | CELESTIAL AXES | WONKI",LongNoteReleaseToTapHead,AmbiguousEvidence,SkipLocalAmbiguity,11
family,"NMK&WATHUE | CELESTIAL AXES | WONKI",LongNoteReleaseToLongNoteHead,ObservedSupport,AdmitLocalSupport,2
family,"NMK&WATHUE | CELESTIAL AXES | WONKI",LongNoteReleaseToLongNoteHead,LocalMismatch,SkipLocalMismatch,18
family,"NMK&WATHUE | CELESTIAL AXES | WONKI",LongNoteReleaseToLongNoteHead,NoComparableContext,SkipGlobalAmbiguity,1
family,"NMK&WATHUE | CELESTIAL AXES | WONKI",LongNoteReleaseToLongNoteHead,AmbiguousEvidence,SkipLocalAmbiguity,11
family,"NOWISEE | KO INU | RUKA",TapHeadToTapHead,LocalMismatch,SkipLocalMismatch,133
family,"NOWISEE | KO INU | RUKA",TapHeadToTapHead,AmbiguousEvidence,SkipLocalAmbiguity,886
family,"NOWISEE | KO INU | RUKA",TapHeadToLongNoteHead,LocalMismatch,SkipLocalMismatch,110
family,"NOWISEE | KO INU | RUKA",TapHeadToLongNoteHead,AmbiguousEvidence,SkipLocalAmbiguity,1265
family,"NOWISEE | KO INU | RUKA",LongNoteReleaseToTapHead,LocalMismatch,SkipLocalMismatch,97
family,"NOWISEE | KO INU | RUKA",LongNoteReleaseToTapHead,AmbiguousEvidence,SkipLocalAmbiguity,1281
family,"NOWISEE | KO INU | RUKA",LongNoteReleaseToLongNoteHead,LocalMismatch,SkipLocalMismatch,112
family,"NOWISEE | KO INU | RUKA",LongNoteReleaseToLongNoteHead,AmbiguousEvidence,SkipLocalAmbiguity,1509
family,"ORGT | DESTINY | BAIO",TapHeadToTapHead,LocalMismatch,SkipLocalMismatch,87
family,"ORGT | DESTINY | BAIO",TapHeadToTapHead,AmbiguousEvidence,SkipLocalAmbiguity,1091
family,"ORGT | DESTINY | BAIO",TapHeadToLongNoteHead,LocalMismatch,SkipLocalMismatch,53
family,"ORGT | DESTINY | BAIO",TapHeadToLongNoteHead,AmbiguousEvidence,SkipLocalAmbiguity,119
family,"ORGT | DESTINY | BAIO",LongNoteReleaseToTapHead,LocalMismatch,SkipLocalMismatch,59
family,"ORGT | DESTINY | BAIO",LongNoteReleaseToTapHead,AmbiguousEvidence,SkipLocalAmbiguity,113
family,"ORGT | DESTINY | BAIO",LongNoteReleaseToLongNoteHead,LocalMismatch,SkipLocalMismatch,36
family,"ORGT | DESTINY | BAIO",LongNoteReleaseToLongNoteHead,AmbiguousEvidence,SkipLocalAmbiguity,88
family,"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",TapHeadToTapHead,LocalMismatch,SkipLocalMismatch,175
family,"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",TapHeadToTapHead,AmbiguousEvidence,SkipLocalAmbiguity,4317
family,"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",TapHeadToLongNoteHead,LocalMismatch,SkipLocalMismatch,24
