stratum,chart_id,seed,control_added,treatment_added,control_taps,treatment_taps,control_lns,treatment_lns,control_output_sha256,treatment_output_sha256,control_hard_violations,treatment_hard_violations,treatment_only_violations,control_only_violations,control_geometry_set_differences,treatment_geometry_set_differences,frozen_selected_lane_rejects,control_rng_calls,treatment_rng_calls,control_rng_sha256,treatment_rng_sha256,first_governed_divergence,first_full_state_reconvergence,control_reparse_exact,treatment_reparse_exact,default_reference_exact,treatment_deterministic,g1_evidence_invariant,control_gate_rng_calls,treatment_gate_rng_calls
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,11,1038,1038,796,796,242,242,2C5793FA615CF0A7CA329123B6969717F5BF5AA38BD7963BC908D79DE0939CB8,0D2866F2968462890CBEB7B903A4B2D43B4EFE87E497C23C73A94D9A50615DE9,4,0,0,4,8,9,4,6780,6780,6E8344B15A1B902221465A4E744D636636B19F32227BAB951380C6B225799675,8E6024FAA8D5B7FD8807D348C9EE0284F5097A3909FB65B0A51925295541BC78,"OP-00000659-BaseHead-S659-T51279-ANA","OP-00000662-BaseHead-S662-T51450-ANA",true,true,true,true,true,0,0
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,12,1033,1040,785,799,248,241,5EFD68244CF0D0D8FA527C5E51535169BA9947599958FB630CCC49EB73D4D44E,458006B5A7639E96B7D804608FB14EB7E5B6FD90BABBAB2D31F053359371DFA4,6,0,0,6,9,7,6,6781,6781,BB2995C3B9E6A79AF809D72C7F803734A67DE493CEF77DCDDA8EBC31C7F25782,DF6368511183984457ACCA1004EFF6EED7A936011D63289312533833FAF6145A,"OP-00000123-BaseHead-S123-T13950-ANA","OP-00000125-BaseHead-S125-T13950-ANA",true,true,true,true,true,0,0
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,13,1024,1022,798,794,226,228,28A7CD0538F24E15BC7DE56187C7EDF192A79B81CF8B6D6374C81E35119D6751,0B2BA5B1F7B075796A240578B7CFCC295A7BB4144B7DF178AC45DE74D7999773,3,0,0,3,4,5,3,6750,6750,74E9744CD07FC66B239012885BE24CBEDAE0F4C6DF018631DFFE8F21B58074AF,CE81B06BB5BFBE473F7832C459A347F3E80F33A3B06975B0DE6AB7C1991141FD,"OP-00000182-BaseHead-S182-T18382-ANA","OP-00005403-LnInterior-S32-T5598-A5598",true,true,true,true,true,0,0
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,14,1072,1057,827,814,245,243,926F2073B0A6CA0EBE6E3487D3F85921F510DA27633AC5B53010D9EB013C60C4,744842E0C18CCE08E16DE3D21FA5CCE673DC101599C6F50E5F0C6F88486BA004,3,0,0,3,4,4,3,6817,6800,543595C641AF72A34B4B5F6276574AA540DF02B0C874AEB4F368DACC805FCDDE,9DAE930F08A57548D9B1DBF0F4A349E2E633A867ADC8B83AA32D940E5374D511,"OP-00000659-BaseHead-S659-T51279-ANA","OP-00000664-BaseHead-S664-T51450-ANA",true,true,true,true,true,0,0
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,15,1084,1067,821,825,263,242,7CDB4BA8DEF438DD2203D32C70210246EFB35FBD3A98ADCD874A6D37D310B9BF,05D53880849E40A9091658DD9F6200242EBC1916D56AE35A9CF4748128625B80,6,0,0,6,9,7,6,6847,6809,B10B958E0BAB138F7DED3B651FECD84B4F2C6121AF538CF374BE383BCE93D190,0E3BF2BDBF1B49A173E693EB25E8E6FA4E55664B365AC5210B82598DCA1848A5,"OP-00000674-BaseHead-S674-T51961-ANA","OP-00005402-LnInterior-S32-T4916-A4916",true,true,true,true,true,0,0
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,16,1102,1103,840,842,262,261,860F86C869B18B2351A452B6F8DC06C6B0717D634C1F547979522C49BD92094D,01A60CD594FB74A682FFA7FFCFC746E3E533763BB3BAE601B14DF7365EDE107A,5,0,0,5,9,7,5,6864,6864,7C9C98F6434720824CCAEB6B4561657F6408DF732F123918C94854FE81116E83,E40172994184C9595121FFAE037DDF782ED77B8B3D6E2248CA0D4BA7EF353F9F,"OP-00000182-BaseHead-S182-T18382-ANA","OP-00000186-BaseHead-S186-T18723-ANA",true,true,true,true,true,0,0
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,17,1007,1007,788,788,219,219,F2BE2902D0358069932B48D09C878C83558B439C1274F923CA31E98CB193184C,42D28CE00AF866CD771A949B322738A570AE21A25FE23E9FAF619DC8FF697211,2,0,0,2,5,5,2,6726,6726,BB9869141DFE23D5E20863AB9B5412352A271C5FA85479D6D3C2F0044DC7B4E7,C5E2DD9E53A3CB5943E44FCE65A29E48950D293622B510AB77EE1E3430E34533,"OP-00000247-BaseHead-S247-T22814-ANA","OP-00000249-BaseHead-S249-T22984-ANA",true,true,true,true,true,0,0
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,18,1029,1029,773,773,256,256,FC408C0AC34108EB7F8C582AF5CB58B05914B6ECFA686C9721BE28AAFD1C728F,95DF441A079A1576E6B0F563F98DC2EBE16EBF8CB6FC22532EAE97D4D3A94334,2,0,0,2,5,5,2,6785,6785,161B707F1816903CC20B92ABFF0D2FB6143B9E2195319D2A1B1CA6C7E8AC87C1,87C9FBDD88FD7D4867BB946605DB739E2BE0D2DC4B53344D88DF64EFFBA0BAF3,"OP-00000085-BaseHead-S85-T11137-ANA","OP-00005406-LnInterior-S74-T10541-A10541",true,true,true,true,true,0,0
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,19,1009,1009,776,776,233,233,E95D962A0BB7B7AE0E450DE3AC9823750B880D0135ECDE1147A3F19A10FA80F7,B4E2A51A760FB059ABFA90545C8E4BC10ABA054F7C8826FA8FD8E437F410DA30,1,0,0,1,4,4,1,6742,6742,DB22196D5C4C75FE0769296AD9310055136977B7511D92A5727632EE4A91D608,DD90C57A9B3E0027309A651C34CA3EC84C0526B050132C979358226347CBC732,"OP-00000183-BaseHead-S183-T18552-ANA","OP-00005401-LnInterior-S11-T2870-A2870",true,true,true,true,true,0,0
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,20,1049,1043,817,805,232,238,B5BD3FA6FAC56CF52A311BD441A49AEAFF4825446EA4F58149B02FF8B1A70043,055E7A5DB3E69B8516B9F01ACD6F8FA4A6237EAD9B088E58D4DC998E8C1289B6,4,0,0,4,6,6,4,6781,6781,3CE43A290631F1A4CC46131C745A0FEC7848A35515B894BA4C5B65C7157F9C67,55E8040C0A35AE6792029B9B8968260EDECA239EAE5713CC4A8217D7417128DD,"OP-00000183-BaseHead-S183-T18552-ANA","OP-00005400-LnInterior-S11-T2189-A2189",true,true,true,true,true,0,0
