stratum,chart_id,seed,control_added,treatment_added,control_taps,treatment_taps,control_lns,treatment_lns,control_output_sha256,treatment_output_sha256,control_hard_violations,treatment_hard_violations,treatment_only_violations,control_only_violations,control_geometry_set_differences,treatment_geometry_set_differences,frozen_selected_lane_rejects,control_rng_calls,treatment_rng_calls,control_rng_sha256,treatment_rng_sha256,first_governed_divergence,first_full_state_reconvergence,control_reparse_exact,treatment_reparse_exact,default_reference_exact,treatment_deterministic,g1_evidence_invariant,control_gate_rng_calls,treatment_gate_rng_calls
primary,20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,1,2896,2896,2204,2204,692,692,15C4668C2E5405EC1BC8D6D15B29DEB2276B06B2FD2A13C83382761F90600A44,3AFC90C1EDC645A6FD0093AD8CE7AEA4727BE4684228C032419EBD3BCD88377A,5,0,0,5,15,15,5,13780,13780,61A3E7564B498FC3DF2B35AB8BA51B15F822E8B7C68BEAB61877432EE46B1518,CBD568AFF79A2148B24F19E8C35962D74F90D03A80B4A47BD8F5BF7ECBC5C9F9,"OP-00000048-BaseHead-S48-T6475-ANA","",true,true,true,true,true,0,0
primary,20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,2,2864,2861,2152,2149,712,712,BF0E43837E04DEE93413626E8F2E609E59834EE7CE8FCF8A19042C3E8B10E316,AD4E63101B1087229EFD6DECB794EB085DD4707494FF9B2D34DA9EE2691953A9,4,0,0,4,14,15,4,13768,13765,7D15AB9D78971B5F3CE5E4F44504CF4E3019085EEB39FE8F9DF3BD55E463FF27,6038B3B36F19BA45CE79B0F4E29A676206EB0C7FEE4EB012D74684D4A2A2DC46,"OP-00000370-BaseHead-S370-T29933-ANA","OP-00010142-LnInterior-S232-T21136-A21136",true,true,true,true,true,0,0
primary,20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,3,2880,2825,2195,2143,685,682,A738078FDF2BF8BD6820E1034E6B95243C89E7978E7AA345A7D306B3733CAE21,4C119A11DABA5C27FB7643FB90536D281CFA794A03D76835613119FF5E20E525,5,0,0,5,10,10,5,13757,13699,13A54CA5ED4CAF0A6ACCB134B6AD658EDCB26CE5F3DDBDC495B5CA3B0D502FBA,5ACB3FFCEFB80464D81FDD8CB580705FF153FDD9C8F68C103F04993323C55D40,"OP-00000244-BaseHead-S244-T21475-ANA","OP-00000246-BaseHead-S246-T21700-ANA",true,true,true,true,true,0,0
primary,20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,4,2845,2839,2152,2140,693,699,71D78994D7D655BF0E2CB5F423B775805BFD0463864DE6EB9BB7DE0415E93D94,462307AE599D390CCC56595CCBE9ABAB02D36EF35AC4E00A69D270963438E999,6,0,0,6,10,10,6,13730,13730,804CA1EF7A1F88A31E80FDDDCD2960C9E9FB3D4B47FC10195CA2D8432B80FB90,8F5589B0045254ECCAE68DFD3E01037D8C5771CA6BD7081132B173C2B6762DED,"OP-00000185-BaseHead-S185-T16399-ANA","",true,true,true,true,true,0,0
primary,20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,5,2890,2878,2179,2168,711,710,9D108520BBCE628B0E29CEE021BF3D001815832E0F309F12B1AAAB671FDCAAD3,5936C8599A038B3B498FF5EDCEF70665CB4A4D355719DC861888580B42DCFE90,9,0,0,9,19,18,9,13793,13780,30C4BB786A31CD1845FE981F445EC0FAF40B2877AA3B44CC06D07641DC8E6F7E,20F6D7EBA5363489BF7EA7FCAD96BA53B72F569B67E792E5E1906F48D12A4B6F,"OP-00000055-BaseHead-S55-T6926-ANA","OP-00000057-BaseHead-S57-T7039-ANA",true,true,true,true,true,0,0
primary,20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,6,2859,2856,2167,2161,692,695,E84E057174031F426CD078FC92C2052FDD171019B21D70AF02B00FCF72600983,C46140F568E970884D57634649251527E39DDBB3BA3DF84F72B4A416E01F478C,12,0,0,12,17,20,12,13743,13743,7B12DE40B981E49C3802490929E602D3901604A05C7C2814E1C0C77C9A198194,B0A3A8AF7360D9895861380862FE9A279C61353C447DAA0CB64A3197FF511431,"OP-00000370-BaseHead-S370-T29933-ANA","OP-00010142-LnInterior-S232-T21136-A21136",true,true,true,true,true,0,0
primary,20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,7,2886,2889,2186,2192,700,697,281B9FA8AA949838F23FE20DA843E9FBAC6A95EA6A557ABF90CBFFA57836A848,980EA91D1D651DC6A35FC71518338DAA6F767DF81E05E36A2958706A083CA3D1,7,0,0,7,18,24,7,13778,13778,2977C1A143321AC33D43DE1FB986EFDA79DE17ABB654C95D0812A0D1525E431D,037CF4F23AD767919E04D54AE5DD1D86F725BF0B2DC11EFD8161C2170C8FB7B4,"OP-00000011-BaseHead-S11-T2527-ANA","",true,true,true,true,true,0,0
primary,20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,8,2896,2892,2194,2186,702,706,D1D111CBAA03162B67D18A5C74E8BE4567F8C2BC8B0C8321077447CFF1E2D9BA,16F1D769118711714A07A013D076EF9E4E2785931371D4E6466938B5BC41CADF,6,0,0,6,14,12,6,13790,13790,2BBB2CAE5EEDE67855D62E8CC7A9531BD493E128FA0A78E03780CEDA18A68096,2E2BCDA5088E68D3151DAE22C068C3BE37B2FF6235D833FDC0358AC10CD8E4DC,"OP-00000048-BaseHead-S48-T6475-ANA","OP-00000049-BaseHead-S49-T6587-ANA",true,true,true,true,true,0,0
primary,20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,9,2893,2889,2209,2201,684,688,421A22905F9E298FAE15A3E7A8394ECD47E35E2A3CBD154FEF438597A0906604,EE28A540ADD43DCB6A706AE8DDE9DE5F62B941D4E6CF9AE8F28E2DB04507C5A5,10,0,0,10,17,17,10,13769,13769,2A16A42BC5A2A4AD661F97D860590ABC439409F7B0E6D16B267CB89F2C57D503,E75A2DA3451518F68C2911CAA76F34672F00CC11C4325B5B3FCD5DD53A78FECA,"OP-00000370-BaseHead-S370-T29933-ANA","",true,true,true,true,true,0,0
primary,20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,10,2830,2829,2148,2146,682,683,E9F5ADACA0BA4D1013BCCF93D99960413A2D56F05A4DC7F7E6E3F6E7F778376E,A46E913AF6BB2BB3A348D118D88F86FC8C2622C2F85CE5CC07ED9EE8EAB81C28,2,0,0,2,6,7,2,13704,13704,59D100F31079A68DB8F813C8C0E7560FBAF24D56AEA38D027A843781551ADF31,43E7EA4CE242F1D2627D6D29AA377944C137E5A721BA332A5D4193A55CD0267A,"OP-00000048-BaseHead-S48-T6475-ANA","",true,true,true,true,true,0,0
primary,20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,11,2899,2899,2224,2224,675,675,A27E65F811335C60DF5D0A49555C8F07208D0BED5659B75E9DC08A1D702B5C33,656DDDC51973B42120E253328CC334F3A43305F35C121AF0B434365A9B656515,4,0,0,4,14,14,4,13766,13766,131032C467EE1C321EE560C9D63BACD5C2C4C3E41E07B7CBC233871ED0CA9A11,872977B8B83F4D5D684FC53B6D0610D5C05EA132DA4619D94F50C67925A93C22,"OP-00000055-BaseHead-S55-T6926-ANA","",true,true,true,true,true,0,0
primary,20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,12,2881,2880,2202,2200,679,680,9615295052E7A24B6FCF2FF31C04635C6D8A1A19E17EC8B3FB67DA91C34212A8,FBEE8E869B6964FE58787C97A4C872CD36D6540EFFB8D5463B9BB93B5E9C4355,6,0,0,6,10,10,6,13752,13752,03DB6A9ADB824C9D90BCB9B0EFA01E7DCD6F64F3C37AC229DEF56F814C7F5B56,8368B6D02D2CCCFDEB91521100254C0B3CC980579E96AC710447A5900416FB1D,"OP-00000466-BaseHead-S466-T35009-ANA","OP-00010142-LnInterior-S232-T21136-A21136",true,true,true,true,true,0,0
primary,20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,13,2819,2796,2129,2109,690,687,C97C19EA955462A74B172C0FC8BE6686F05D9ADBE19B329C4EF5BD4231A21778,88E359B3328E50F15EE545278B24C97DDA03DDCE897A151A9FCF5539F01C8FA6,5,0,0,5,10,9,5,13701,13675,0C0C649007290D3DCB7BF218E9F354C8181B8234370359B4D62128CAA39388E4,735770A8770552B5DC06FF5895CF590779F18CD5932F1C962C61225F965E0F87,"OP-00001383-BaseHead-S1383-T83392-ANA","OP-00001387-BaseHead-S1387-T83505-ANA",true,true,true,true,true,0,0
primary,20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,14,2891,2891,2197,2197,694,694,88468B1549AB47E274572E353DF9F584CB26684D22994112D2336AD5A2B59ADF,A50D53258476308348FA13307C381FBFC93FDBCE346B85CB6CE6BE6A843C3055,8,0,0,8,21,22,8,13777,13777,7A9873B0EB1E60AC031CE14A9AFEC853C4D4678B5C6051F17358C444B7393A16,F571BDB985441555B2183F11BAC22ECBFF4DB0A27FEBF2B95B1560742D379184,"OP-00000051-BaseHead-S51-T6700-ANA","",true,true,true,true,true,0,0
primary,20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,15,2918,2916,2207,2203,711,713,8C27D47A35D1D2B0154082A61A5AF2C6E4EF921E96070BA18297CBAA9CD89985,FF19E1F3B290F939F9A4154230DA906F14A2B535BCE03FC7A43C4ADC837FC971,7,0,0,7,13,14,7,13821,13821,149BC8370B63B3469B9B8D2860A99BAC7028E3E4D889AC6739B463D2560085C0,E6CC3B4C466D539F34B997AEFC430746282132E3B694DCAE7BB37BA78666569B,"OP-00000055-BaseHead-S55-T6926-ANA","",true,true,true,true,true,0,0
primary,20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,16,2970,2969,2274,2272,696,697,5F374FA5D56B926771AA45AFBF6A0980FA505BFB4E7E547795561D4B4EB1A493,F63BA0F3931DE8264FBEC5B58DB6F44A479E76695A3F56D07D1AC05537F062D6,10,0,0,10,12,12,10,13858,13858,603EE396E1A30952EFC547F2B67105FC67048EB557410EDDB928CB920C4512CC,96E16FA17D0DA62DBA6C9D27F0DCAB63E11EEA93A7BD5126FF7BC1A6CFE4E900,"OP-00000370-BaseHead-S370-T29933-ANA","OP-00010142-LnInterior-S232-T21136-A21136",true,true,true,true,true,0,0
primary,20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,17,2858,2858,2172,2172,686,686,C5BDD1CDF35A68F8E2E126837B572F07F57D3B6D7CEDFB5A198FFFC692C27FB4,ABFA726F9C4C8E916B59E36866FBAA4296647133ECFB06450550A925E0B80C72,7,0,0,7,16,15,7,13736,13736,A0B5CE22BD840579035133FEA0F618C14F77054442368BFAD69745DB7AE07102,44D25497F9A152B033FCDDA22B61BFC9432705E5A289BE80E0A6BE50B5BB9AFC,"OP-00000051-BaseHead-S51-T6700-ANA","OP-00000055-BaseHead-S55-T6926-ANA",true,true,true,true,true,0,0
primary,20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,18,2879,2876,2187,2181,692,695,4450C12379888AFD25069263507AAC92FF95BD92BA403C6E3CDF113FB7BB43A6,94D8E7C2439EBDA1CA2D3A795384309FB3D42A1C85888B3D474C4A321F475798,13,0,0,13,16,15,13,13763,13763,7C26DFB84D9285B1897B50647AA2D2C6424BEC9661177D38C18BEC4881DC8569,87F42048F1C0BC8F12687B91DC4B02127DEAE32CF73855417060A7D8CD94F8FC,"OP-00000363-BaseHead-S363-T29369-ANA","",true,true,true,true,true,0,0
primary,20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,19,2851,2851,2166,2166,685,685,3D82B74891558E162EA0574C67334853235090938CC0CF8E45CBA24CF63D0245,B54160FA46EA956CA45DEA6023BA5AF1FC520960DD85600AFA3F4C76D8099372,3,0,0,3,11,11,3,13728,13728,28126E58A2D42101AC6074AF8CB09F6DCB68D0B90319BBC6A5D7EAA63DF0CA52,C1D8823D713CCA6EA522A3520B688AF16E88D4F033FA871D29C49FEB51F31F19,"OP-00000051-BaseHead-S51-T6700-ANA","",true,true,true,true,true,0,0
primary,20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,20,2895,2895,2167,2167,728,728,96A6211BC1799FF8932B4738E014163B7034904C858423AE2392987379216B7A,6FECAD524A2A8CF5A161A9E36965DD9577A070809BE805B36840A5C04E0BC2D7,3,0,0,3,11,11,3,13815,13815,BEBD9FF43D51D71748CF4497B572D90164CF737A5FC17F40BC44B944C42D6AE7,F6571F363A7091EEA028C22E45806B74EB08468E0A55D2B2E080DB0F2CEE9659,"OP-00000370-BaseHead-S370-T29933-ANA","",true,true,true,true,true,0,0
primary,322F995448A73713DCBECE3D140F4D516EF687DBC43CC140CFF14948566F906B,1,625,625,541,541,84,84,A9FC3F665B94F47626FE74FEF420C9D5A68A8A1FF2E8508AAC586D2FBE3D05E4,A9FC3F665B94F47626FE74FEF420C9D5A68A8A1FF2E8508AAC586D2FBE3D05E4,0,0,0,0,0,0,0,2390,2390,8BDAAD1B29DAAC9C6C2168167CBF428C74A7A824374A8C5F2C67242BC675EFFA,8BDAAD1B29DAAC9C6C2168167CBF428C74A7A824374A8C5F2C67242BC675EFFA,"","",true,true,true,true,true,0,0
primary,322F995448A73713DCBECE3D140F4D516EF687DBC43CC140CFF14948566F906B,2,615,615,534,534,81,81,E3DE224D3A6B6C436418D62EE1F7131D3F0BF52BB910845410F1B0BA25343214,E3DE224D3A6B6C436418D62EE1F7131D3F0BF52BB910845410F1B0BA25343214,0,0,0,0,0,0,0,2377,2377,B0A5241EB58E5378AB19BEC479382E4C565DC964132B93E607C2B42D6609A6DE,B0A5241EB58E5378AB19BEC479382E4C565DC964132B93E607C2B42D6609A6DE,"","",true,true,true,true,true,0,0
primary,322F995448A73713DCBECE3D140F4D516EF687DBC43CC140CFF14948566F906B,3,612,612,536,536,76,76,9E49A565DA3B8FA155F63A85A65E7A52999AABB30630FE38ADE9185F644DC204,9E49A565DA3B8FA155F63A85A65E7A52999AABB30630FE38ADE9185F644DC204,0,0,0,0,0,0,0,2369,2369,A5716F2E676A15D1644FF707AC25B32E92CF84747E4F69C1E19196C2BA627ABD,A5716F2E676A15D1644FF707AC25B32E92CF84747E4F69C1E19196C2BA627ABD,"","",true,true,true,true,true,0,0
primary,322F995448A73713DCBECE3D140F4D516EF687DBC43CC140CFF14948566F906B,4,618,618,535,535,83,83,FEF7619EFEE6CC193C8DFE1EBC2BA4FB027038901D2A6B2BF927B1F96F0C0FCA,FEF7619EFEE6CC193C8DFE1EBC2BA4FB027038901D2A6B2BF927B1F96F0C0FCA,0,0,0,0,0,0,0,2382,2382,DE58704826CC11C0043BD8DDBF362E6A798443EA091A51525A9B0C6F80340A01,DE58704826CC11C0043BD8DDBF362E6A798443EA091A51525A9B0C6F80340A01,"","",true,true,true,true,true,0,0
primary,322F995448A73713DCBECE3D140F4D516EF687DBC43CC140CFF14948566F906B,5,611,611,537,537,74,74,7919AA368355D84B15951FD4EEEBDAECE27023B746D538D40FA2C71F25B0DFBA,7919AA368355D84B15951FD4EEEBDAECE27023B746D538D40FA2C71F25B0DFBA,0,0,0,0,0,0,0,2366,2366,C8FAAE4F5C554CAD4BEABEF709359E080EFA460605205804DF941EC1828661B4,C8FAAE4F5C554CAD4BEABEF709359E080EFA460605205804DF941EC1828661B4,"","",true,true,true,true,true,0,0
primary,322F995448A73713DCBECE3D140F4D516EF687DBC43CC140CFF14948566F906B,6,636,636,564,564,72,72,684066670A74B6FBDD65EC7EF7F6A701DA876659E2837396B87634E69D4F17CB,684066670A74B6FBDD65EC7EF7F6A701DA876659E2837396B87634E69D4F17CB,0,0,0,0,0,0,0,2389,2389,5DE963090E4C732042A6D12F2D0510D8C5AF1C05BF59F4A1D2FA201F27F8411C,5DE963090E4C732042A6D12F2D0510D8C5AF1C05BF59F4A1D2FA201F27F8411C,"","",true,true,true,true,true,0,0
primary,322F995448A73713DCBECE3D140F4D516EF687DBC43CC140CFF14948566F906B,7,632,632,558,558,74,74,73094CE83ECE53B3A5FC468445D5940EE83FCED814CCFDD38E98826573BD5535,73094CE83ECE53B3A5FC468445D5940EE83FCED814CCFDD38E98826573BD5535,0,0,0,0,0,0,0,2387,2387,79B1CFFC92F452292C0B37CB505B2693B3790A5BDFD99C5F4FF999A423F33AB6,79B1CFFC92F452292C0B37CB505B2693B3790A5BDFD99C5F4FF999A423F33AB6,"","",true,true,true,true,true,0,0
primary,322F995448A73713DCBECE3D140F4D516EF687DBC43CC140CFF14948566F906B,8,630,630,548,548,82,82,CAA943349E83C86E4BE9AEA9EF5F0AE4CA2D96E751B6A8519052CAF5240A941A,CAA943349E83C86E4BE9AEA9EF5F0AE4CA2D96E751B6A8519052CAF5240A941A,0,0,0,0,0,0,0,2393,2393,D4D97898C682650C140AC1B0D109E9A10D8112BE2B26C4809FF4167E65E75423,D4D97898C682650C140AC1B0D109E9A10D8112BE2B26C4809FF4167E65E75423,"","",true,true,true,true,true,0,0
primary,322F995448A73713DCBECE3D140F4D516EF687DBC43CC140CFF14948566F906B,9,624,624,543,543,81,81,68FB377931A9760796D95F3DBE168F68EEF92AC98A44442ADDDA04BB91B370DE,68FB377931A9760796D95F3DBE168F68EEF92AC98A44442ADDDA04BB91B370DE,0,0,0,0,0,0,0,2386,2386,2E6EA7ED4004CBA6BE4BF5A601DCA208A6B9EC8C4B7BA7C997219B0487062EFA,2E6EA7ED4004CBA6BE4BF5A601DCA208A6B9EC8C4B7BA7C997219B0487062EFA,"","",true,true,true,true,true,0,0
primary,322F995448A73713DCBECE3D140F4D516EF687DBC43CC140CFF14948566F906B,10,622,622,542,542,80,80,C23EAC281F3C9ABA8038BCB085B6859733D2F11BE4CCE027CB1068E0A94025E9,C23EAC281F3C9ABA8038BCB085B6859733D2F11BE4CCE027CB1068E0A94025E9,0,0,0,0,0,0,0,2383,2383,0C02E86C6406E3F8830D50838530DEF97396D5F3A59B82C6D60019D55E8CE626,0C02E86C6406E3F8830D50838530DEF97396D5F3A59B82C6D60019D55E8CE626,"","",true,true,true,true,true,0,0
primary,322F995448A73713DCBECE3D140F4D516EF687DBC43CC140CFF14948566F906B,11,614,614,529,529,85,85,9DA861423CE7DC5F00556909B52BBC4606C153FBD54DAFE92847C8BBD1EF4F16,9DA861423CE7DC5F00556909B52BBC4606C153FBD54DAFE92847C8BBD1EF4F16,0,0,0,0,0,0,0,2380,2380,217A5A8E1A468CC50372DD134177C9C239662D59704D38DB813ED71CA83B0FBE,217A5A8E1A468CC50372DD134177C9C239662D59704D38DB813ED71CA83B0FBE,"","",true,true,true,true,true,0,0
primary,322F995448A73713DCBECE3D140F4D516EF687DBC43CC140CFF14948566F906B,12,632,632,544,544,88,88,5D7E69A0A4F4FF36CDA135C14E532295CF3D534109673CEAE6A6581378B5924F,5D7E69A0A4F4FF36CDA135C14E532295CF3D534109673CEAE6A6581378B5924F,0,0,0,0,0,0,0,2401,2401,EBAB242EACA6311A5B007E32E45B8815AC99C536054444E984F447EFE94D58F2,EBAB242EACA6311A5B007E32E45B8815AC99C536054444E984F447EFE94D58F2,"","",true,true,true,true,true,0,0
primary,322F995448A73713DCBECE3D140F4D516EF687DBC43CC140CFF14948566F906B,13,639,639,557,557,82,82,2B45696B802DF6B09ED8B441F2CFBAE82450B0BE02F5EDB54EBDF5044B819502,2B45696B802DF6B09ED8B441F2CFBAE82450B0BE02F5EDB54EBDF5044B819502,0,0,0,0,0,0,0,2402,2402,4D72831360C7E7CCCFCF8A4FC994C04B5EF30830204FF9434465D3F668B730AA,4D72831360C7E7CCCFCF8A4FC994C04B5EF30830204FF9434465D3F668B730AA,"","",true,true,true,true,true,0,0
primary,322F995448A73713DCBECE3D140F4D516EF687DBC43CC140CFF14948566F906B,14,602,602,524,524,78,78,C5AD0986651883C96853BDB0587C9EA8778B5B6947DF673E84F5644AC658FAD7,C5AD0986651883C96853BDB0587C9EA8778B5B6947DF673E84F5644AC658FAD7,0,0,0,0,0,0,0,2361,2361,14AA90DC5350F8F17AC8939FB3D2D5BB4D5C7A8CDACAFE04799380C9467C1DF3,14AA90DC5350F8F17AC8939FB3D2D5BB4D5C7A8CDACAFE04799380C9467C1DF3,"","",true,true,true,true,true,0,0
primary,322F995448A73713DCBECE3D140F4D516EF687DBC43CC140CFF14948566F906B,15,627,627,550,550,77,77,336A8B186894A9D4CBAF6B091B86726CF7EAE86D9DFC477F91914E73C363F55F,336A8B186894A9D4CBAF6B091B86726CF7EAE86D9DFC477F91914E73C363F55F,0,0,0,0,0,0,0,2385,2385,AFD5D019B9074C70B80728549DBA0364002A9BB7FD9DECA4D59010FD0A54DACE,AFD5D019B9074C70B80728549DBA0364002A9BB7FD9DECA4D59010FD0A54DACE,"","",true,true,true,true,true,0,0
primary,322F995448A73713DCBECE3D140F4D516EF687DBC43CC140CFF14948566F906B,16,595,595,517,517,78,78,4A4C3D2466FB89C713633FA0B6B3730EE1D4411FBB0C5EDDBE5603D96020004A,4A4C3D2466FB89C713633FA0B6B3730EE1D4411FBB0C5EDDBE5603D96020004A,0,0,0,0,0,0,0,2354,2354,430DC581580D34E5895BBCD2DF5B71E7372FE27C39554E6CCABBEB146000143E,430DC581580D34E5895BBCD2DF5B71E7372FE27C39554E6CCABBEB146000143E,"","",true,true,true,true,true,0,0
primary,322F995448A73713DCBECE3D140F4D516EF687DBC43CC140CFF14948566F906B,17,602,602,521,521,81,81,1AD12F5489F0B7FE3B7D23A83EABFD03EF0AF50C3FD45B8796E8C5B73EE6EBB4,1AD12F5489F0B7FE3B7D23A83EABFD03EF0AF50C3FD45B8796E8C5B73EE6EBB4,0,0,0,0,0,0,0,2364,2364,E93B8097E52F2A7BBD46CCBFE4D9BF728443510897CCA8B064174701123A5E02,E93B8097E52F2A7BBD46CCBFE4D9BF728443510897CCA8B064174701123A5E02,"","",true,true,true,true,true,0,0
primary,322F995448A73713DCBECE3D140F4D516EF687DBC43CC140CFF14948566F906B,18,618,618,527,527,91,91,65ADFB043C00828A50714FB21AA3189140857FB0BC1DB3634DDE5C75C852ABD6,65ADFB043C00828A50714FB21AA3189140857FB0BC1DB3634DDE5C75C852ABD6,0,0,0,0,0,0,0,2390,2390,AE0E03A402977F7029E26B44912D8B312E9A380E7AA664374736E7F84E894F66,AE0E03A402977F7029E26B44912D8B312E9A380E7AA664374736E7F84E894F66,"","",true,true,true,true,true,0,0
primary,322F995448A73713DCBECE3D140F4D516EF687DBC43CC140CFF14948566F906B,19,621,621,543,543,78,78,50277BFCCEFBE7C21D3E63275E26059A528FFA00D778D2AA6BE3D9553FE9D2EC,50277BFCCEFBE7C21D3E63275E26059A528FFA00D778D2AA6BE3D9553FE9D2EC,0,0,0,0,0,0,0,2380,2380,BB43A974F7B8D96E599FF79CAE293228E106C9C986DAB5C36903A1FB5CFD0B26,BB43A974F7B8D96E599FF79CAE293228E106C9C986DAB5C36903A1FB5CFD0B26,"","",true,true,true,true,true,0,0
primary,322F995448A73713DCBECE3D140F4D516EF687DBC43CC140CFF14948566F906B,20,589,589,513,513,76,76,C122D42850DFFA0D286D37852482FC8720F96D7C1341F7BEA687872C6411BAF4,C122D42850DFFA0D286D37852482FC8720F96D7C1341F7BEA687872C6411BAF4,0,0,0,0,0,0,0,2346,2346,DCB3E5A04C6BC0E328B44D369FFE62EC93EF8857549C3346D83B618151213A28,DCB3E5A04C6BC0E328B44D369FFE62EC93EF8857549C3346D83B618151213A28,"","",true,true,true,true,true,0,0
primary,B1F847192EBB07C44024AA8A4BA570FCCF04EAA03F92D5FC4DBA1EAF40C42249,1,1589,1589,1584,1584,5,5,8A39290C54DBA179262EB7B4830512892471FCFA0F86DEE164F77D6322DC7594,8A39290C54DBA179262EB7B4830512892471FCFA0F86DEE164F77D6322DC7594,0,0,0,0,0,0,0,6491,6491,9FED633150D4A46312F0AB93B013469F172FAB8F244EAE07E89E674D702B6712,9FED633150D4A46312F0AB93B013469F172FAB8F244EAE07E89E674D702B6712,"","",true,true,true,true,true,0,0
primary,B1F847192EBB07C44024AA8A4BA570FCCF04EAA03F92D5FC4DBA1EAF40C42249,2,1611,1611,1604,1604,7,7,C0720EBA40F99859C32BA1740663D4C05C98B7221623E2837FE01BD2732EAF7D,C0720EBA40F99859C32BA1740663D4C05C98B7221623E2837FE01BD2732EAF7D,0,0,0,0,0,0,0,6515,6515,27F61D2FAD73A8074C30438D7C8A533155ABFF2102EDE8A93B826B097B1077CF,27F61D2FAD73A8074C30438D7C8A533155ABFF2102EDE8A93B826B097B1077CF,"","",true,true,true,true,true,0,0
primary,B1F847192EBB07C44024AA8A4BA570FCCF04EAA03F92D5FC4DBA1EAF40C42249,3,1595,1595,1587,1587,8,8,B43EAB9C6C983D8424449B172457F018B3CEB93702D152ECDFFC7FE9C22DEC1A,B43EAB9C6C983D8424449B172457F018B3CEB93702D152ECDFFC7FE9C22DEC1A,0,0,0,0,0,0,0,6500,6500,DB3FFA564438B101EBFFB35C85A542350DE5765FB7D544718C7685A3C5D7C092,DB3FFA564438B101EBFFB35C85A542350DE5765FB7D544718C7685A3C5D7C092,"","",true,true,true,true,true,0,0
primary,B1F847192EBB07C44024AA8A4BA570FCCF04EAA03F92D5FC4DBA1EAF40C42249,4,1536,1536,1529,1529,7,7,2BAB22AEDC5D84D8104D7C9FFDB914B374E4D21DF1E3A5A601AA097604202FF4,2BAB22AEDC5D84D8104D7C9FFDB914B374E4D21DF1E3A5A601AA097604202FF4,0,0,0,0,0,0,0,6440,6440,9A4C4F1507AD115F944E1EFF84E38FBE90B929A133442B5118C35D85851253B2,9A4C4F1507AD115F944E1EFF84E38FBE90B929A133442B5118C35D85851253B2,"","",true,true,true,true,true,0,0
primary,B1F847192EBB07C44024AA8A4BA570FCCF04EAA03F92D5FC4DBA1EAF40C42249,5,1574,1574,1562,1562,12,12,F13E5CEA5B0782DFDB6A05D6272F3E3777DB77818DF4E2E1F8760177B8146BA7,F13E5CEA5B0782DFDB6A05D6272F3E3777DB77818DF4E2E1F8760177B8146BA7,0,0,0,0,0,0,0,6483,6483,77BB735CA7221283FE3B4AD61B2ACF0C511411B9F00C813157ABD3AA0F1640A1,77BB735CA7221283FE3B4AD61B2ACF0C511411B9F00C813157ABD3AA0F1640A1,"","",true,true,true,true,true,0,0
primary,B1F847192EBB07C44024AA8A4BA570FCCF04EAA03F92D5FC4DBA1EAF40C42249,6,1589,1589,1583,1583,6,6,182F97BBCF3C4A96472AEEAA03243B0B557BB182C238CDC01EF8533DA526B072,182F97BBCF3C4A96472AEEAA03243B0B557BB182C238CDC01EF8533DA526B072,0,0,0,0,0,0,0,6492,6492,1DBF852F08E84EABF5E8952C6DF2B83F25000B989D2B4E13D811080569ED1B44,1DBF852F08E84EABF5E8952C6DF2B83F25000B989D2B4E13D811080569ED1B44,"","",true,true,true,true,true,0,0
