chart_id,seed,arm,violation_id,violation_kind,classification,root_cause,mutation_id,mutation_sequence,opportunity_id,source_object,anchor,candidate,lane,object_type,tap_time,blocking_ln_id,blocking_ln_lane,blocking_ln_start,blocking_ln_end,candidate_internal_beat,blocking_internal_end_beat,candidate_materialized_beat,blocking_materialized_end_beat,placement_accepted,hard_validity_result,internal_conflict,materialized_conflict,endpoint_operator_differs,geometry_stale,pre_geometry,post_geometry,pre_generation,post_generation,rng_before,rng_after,g1_divergence,g1_opportunity,opportunity_distance,full_reconverged,geometry_reconverged,rng_reconverged,serialization_changed,evidence_status
"02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB",9,treatment,SAFE-64F85BAD79F18687A75A4D2A,TapOnHeldLongNote,TreatmentDownstream,OracleOrSemanticMismatch,MUT-00006492-DA9C91220AE9BCEF31E0,6492,"OP-00005377-BaseHead-S5377-T257700-ANA","L5|T257700|ETAP|Tap|S5377|ONone|YFalse",,"L0|T257700|ETAP|Tap|S5377|OHeadOpportunity|YTrue",0,Tap,257700,GEN-4FBC9916A7B84CB4F5967A6D,0,257359,257700,754.99893333333313200028444444,754.99893333333313200028444442,754.99893333333313200028444444,754.99893333333313200028444444,True,TapOnHeldLongNote,False,True,False,False,AD2C36BDD5C7EC4D7DAA0321FB68F32EF7F35F74FD5EB1FD399A503C120B6768,0C11AF302E609A29E726AB8854724FCD8070B00B4379F9EB1C6AD10383839A64,B796A9CF341651216C1FDBE6467DAB089818EA177F3B2A2F59ADACDEE1B10736,F6C84B6DE719601ACEFB6AD4CC71F42882C38E0F9164343501BF6629F8A61180,6769,6769,DIV-AA18CDEAB9F1EBEE5A452BE6,"OP-00005400-LnInterior-S11-T2189-A2189",5462,False,False,True,False,PROVEN_EXACT_REPLAY
"02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB",11,treatment,SAFE-F26F0911FF28A00A46B372C0,TapOnHeldLongNote,TreatmentDownstream,OracleOrSemanticMismatch,MUT-00003822-CC99007D99D22963EFCE,3822,"OP-00003073-BaseHead-S3073-T163268-ANA","L4|T163268|ETAP|Tap|S3073|ONone|YFalse",,"L2|T163268|ETAP|Tap|S3073|OHeadOpportunity|YTrue",2,Tap,163268,GEN-8EE5AD442732233F838B19FD,2,163183,163268,477.99839999999987253376,477.99839999999987253375999996,477.99839999999987253376,477.99839999999987253376,True,TapOnHeldLongNote,False,True,False,False,06D41B68ED307F7C50A60E2B1C678B3EC8D078B08A989850F503BF48C73C3900,0075204FD3CD50BE24B2B74CFE21189C3F7261AEB087639A9F60599C9DC15DB6,CAD6313198718C7E406D97CDE84F4FA4F5C2F34DAB6E5CD59DD587209C2D247C,4333007C26D05A4DAB1AE4A0D828CDD40F4144717710CE6BE5F8C1430FEAAEED,4018,4018,DIV-C65C335AAD8DBBBCA669A6DC,"OP-00005403-LnInterior-S32-T5598-A5598",3103,False,False,True,False,PROVEN_EXACT_REPLAY
"02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB",11,treatment,SAFE-B9501F584AE762290E7B78AB,TapOnHeldLongNote,TreatmentDownstream,OracleOrSemanticMismatch,MUT-00003926-FC170273B84CB46C9AB3,3926,"OP-00003161-BaseHead-S3161-T166421-ANA","L3|T166421|ETAP|Tap|S3161|ONone|YFalse",,"L2|T166421|ETAP|Tap|S3161|OHeadOpportunity|YTrue",2,Tap,166421,GEN-967EE6923458878E82DD79E7,2,166251,166421,487.24719999999987006741333333,487.24719999999987006741333331,487.24719999999987006741333333,487.24719999999987006741333333,True,TapOnHeldLongNote,False,True,False,False,A783163F2B4FC6CD5F2286D9399CA25C4D74FA78965965E9A530E8F1C8DA96EA,BFE3474D1CD4BD5462CD64178F25EAD5A09A42068D843D0A806314A389A9D728,6385247DA656DC3B297884C747BEF82D6AC12F350C2B278A1572A17828C3CFBF,C0C63E18DE50AEE4398D47F9FF439F29596022430BC26624EDA64CBF057D0743,4128,4128,DIV-C65C335AAD8DBBBCA669A6DC,"OP-00005403-LnInterior-S32-T5598-A5598",3191,False,False,True,False,PROVEN_EXACT_REPLAY
"02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB",11,treatment,SAFE-2284CF784515E3967079C3B6,TapOnHeldLongNote,TreatmentDownstream,OracleOrSemanticMismatch,MUT-00003985-CB1665D21CA392E2D329,3985,"OP-00003212-BaseHead-S3212-T168296-ANA","L0|T168296|ETAP|Tap|S3212|ONone|YFalse",,"L6|T168296|ETAP|Tap|S3212|OHeadOpportunity|YTrue",6,Tap,168296,GEN-7A760ACDD0BB0D6C5CA6F2A2,6,168211,168296,492.74719999999986860074666667,492.74719999999986860074666664,492.74719999999986860074666667,492.74719999999986860074666667,True,TapOnHeldLongNote,False,True,False,False,0D4DED2B75DD9F88E1F18D4221B57F28ADBE0D97A54A89486C3E1F3FDBA79F6C,65B5F767F58A7CA3548187A4C54813698595511D08E99B38E1DF56F39B1EC342,DEC342829A5846CD1D856F36D31065FE34126D86E39F3ED8F2D3B7949DB950BB,0E107E3DC1B5BAC7A1ADA97695D60FDC0CA9A66DB06DD4AD73820916BE9DC555,4188,4188,DIV-C65C335AAD8DBBBCA669A6DC,"OP-00005403-LnInterior-S32-T5598-A5598",3242,False,False,True,False,PROVEN_EXACT_REPLAY
"02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB",17,treatment,SAFE-32F2591730E7370AD1411EC1,TapOnHeldLongNote,TreatmentDownstream,OracleOrSemanticMismatch,MUT-00004588-315651C8D435FD853633,4588,"OP-00003761-BaseHead-S3761-T197189-ANA","L6|T197189|ETAP|Tap|S3761|ONone|YFalse",,"L4|T197189|ETAP|Tap|S3761|OHeadOpportunity|YTrue",4,Tap,197189,GEN-A750D060A632323DE853F4EB,4,197018,197189,577.499999999999846,577.49999999999984599999999998,577.499999999999846,577.499999999999846,True,TapOnHeldLongNote,False,True,False,False,9EB11054A4724FD532445D60BDC8052739BB99DA5496940BD3F82757769F7C8E,A85198EA9BFF2CFA5A10C34E8296BF04044DE3FC386507FEE01247054B6767F5,81AB8AE66B3B36BE813A30C630C5091CCFD554180776F8D37AC0F6AFE0A4932C,9AD871B5EAE98033A4D0078765B725DC261B2C45D63711671EB38BA72633BD08,4794,4794,DIV-085E822B4965F23D850AEEC7,"OP-00005405-LnInterior-S53-T8240-A8240",3775,False,False,True,False,PROVEN_EXACT_REPLAY
"02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB",17,treatment,SAFE-E46C4E7B5022C20491F15E1C,TapOnHeldLongNote,TreatmentDownstream,OracleOrSemanticMismatch,MUT-00004692-60B5AFDE31CA1D7621C2,4692,"OP-00003850-BaseHead-S3850-T200427-ANA","L1|T200427|ETAP|Tap|S3850|ONone|YFalse",,"L5|T200427|ETAP|Tap|S3850|OHeadOpportunity|YTrue",5,Tap,200427,GEN-E6353DDA9CCE54CB67C71E39,5,200342,200427,586.99813333333317680049777778,586.99813333333317680049777773,586.99813333333317680049777778,586.99813333333317680049777778,True,TapOnHeldLongNote,False,True,False,False,A893D502676F6CCE9A5A2A4B8ECE9BF74838AB031C9A1CE975578F9D2DAD459C,E5587CEF5FDFAA7EBB65F3D26143F583CE4C54CF4B19EEE0293F702B45AD498F,7AF4836EA01D771C56847B0A6FE2731E7E5E3A2B9A2CBAD91441A4F46C182CBA,8BA42B393A32E46D8C9E3A736F6387F7A3187FB3D0C9F00400175113D4C313D3,4906,4906,DIV-085E822B4965F23D850AEEC7,"OP-00005405-LnInterior-S53-T8240-A8240",3864,False,False,True,False,PROVEN_EXACT_REPLAY
"02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB",17,treatment,SAFE-139B96EC9651F26C08C83459,TapOnHeldLongNote,TreatmentDownstream,OracleOrSemanticMismatch,MUT-00004818-8661C7AC634CA6E6E988,4818,"OP-00003958-BaseHead-S3958-T204433-ANA","L6|T204433|ETAP|Tap|S3958|ONone|YFalse",,"L1|T204433|ETAP|Tap|S3958|OHeadOpportunity|YTrue",1,Tap,204433,GEN-E946AA0D08A5025A01D299BD,1,204348,204433,598.74906666666650700024888889,598.74906666666650700024888888,598.74906666666650700024888889,598.74906666666650700024888889,True,TapOnHeldLongNote,False,True,False,False,D905C98BCF9C1C040F66833CBBBED9A4DF9D08C3938023E1F19FB02F1E075555,A9B9019061B30A184802EEAB1C7E5569BDF9314F7E69C9FF213AC5B823CE4CBE,BBA823106BEEA5108E110A826D5EF77EF6EE93F47314DA5AEC4D62D0D1EC85D4,A08E8136750BC038DC31F1EFA1F802190B5BE544CFFC6A3FDCE4391786CC6210,5036,5036,DIV-085E822B4965F23D850AEEC7,"OP-00005405-LnInterior-S53-T8240-A8240",3972,False,False,True,False,PROVEN_EXACT_REPLAY
"02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB",17,treatment,SAFE-935C732E4C84CDA3C946D3A9,TapOnHeldLongNote,TreatmentDownstream,OracleOrSemanticMismatch,MUT-00005391-025820A4F24EB3408680,5391,"OP-00004455-BaseHead-S4455-T221819-ANA","L3|T221819|ETAP|Tap|S4455|ONone|YFalse",,"L2|T221819|ETAP|Tap|S4455|OHeadOpportunity|YTrue",2,Tap,221819,GEN-6DD4FD4ED0FB584A8ED03CBC,2,221734,221819,649.74799999999982673386666667,649.74799999999982673386666666,649.74799999999982673386666667,649.74799999999982673386666667,True,TapOnHeldLongNote,False,True,False,False,1FB1342C737FA38DFAE2E71DF6D5BD581108A9D019091EC0B9668B51400E30F9,31DE9D5D59C4A93205429E57617140CE87B3906049AF9618407C89F706DB9D4D,B9DFA960800CB7341B43275A9454D329BB41E8879534C38B82DFB71F1E75979A,ACAFD211D3004DF57D77182110F73F29F78C3F9C1FC645FD8490D11EEEC1915B,5617,5617,DIV-085E822B4965F23D850AEEC7,"OP-00005405-LnInterior-S53-T8240-A8240",4475,False,False,True,False,PROVEN_EXACT_REPLAY
"20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788",11,treatment,SAFE-A33A0DD6B08C8DFAAB01866D,TapOnHeldLongNote,TreatmentDownstream,OracleOrSemanticMismatch,MUT-00006726-0CB20C176C0A2140843B,6726,"OP-00005271-BaseHead-S5271-T266968-ANA","L1|T266968|ETAP|Tap|S5271|ONone|YFalse",,"L3|T266968|ETAP|Tap|S5271|OHeadOpportunity|YTrue",3,Tap,266968,GEN-3F2405A094BF1F0C441FA737,3,266880,266968,635.69521666666694890197194446,635.69521666666694890197194443,635.69521666666694890197194446,635.69521666666694890197194446,True,TapOnHeldLongNote,False,True,False,False,B8BFD54E465CB18C3C0AAF2B420D4B7EB21D9D4530DE93FB69736DBF84C8F4CE,9C206FF02BF02FE8CD3648FEEA81528A060517058E472B369A525C90979B96C2,07E02F09ED3CA074FDC24ADEC6E5BB8B67406A89C7F2C38232726CA8411F02D1,31E0A158033CFB63B084639F97BB70917D0603B1A87E08832ED809DE13F5006D,7058,7058,DIV-26132A17713DC6BE99AE07EE,"OP-00010142-LnInterior-S232-T21136-A21136",5067,False,False,True,False,PROVEN_EXACT_REPLAY
