chart_id,seed,arm,violation_id,violation_kind,classification,root_cause,mutation_id,mutation_sequence,opportunity_id,source_object,anchor,candidate,lane,object_type,tap_time,blocking_ln_id,blocking_ln_lane,blocking_ln_start,blocking_ln_end,candidate_internal_beat,blocking_internal_end_beat,candidate_materialized_beat,blocking_materialized_end_beat,placement_accepted,hard_validity_result,internal_conflict,materialized_conflict,endpoint_operator_differs,geometry_stale,pre_geometry,post_geometry,pre_generation,post_generation,rng_before,rng_after,g1_divergence,g1_opportunity,opportunity_distance,full_reconverged,geometry_reconverged,rng_reconverged,serialization_changed,evidence_status
"02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB",11,control,SAFE-8200C249554F1174880B6232,TapOnHeldLongNote,LegacyDownstream,OracleOrSemanticMismatch,MUT-00004784-E399B2AB11690992E7B0,4784,"OP-00003899-BaseHead-S3899-T202302-ANA","L0|T202302|ETAP|Tap|S3899|ONone|YFalse",,"L1|T202302|ETAP|Tap|S3899|OHeadOpportunity|YTrue",1,Tap,202302,GEN-6A34ACE7B98EB1142E7A680F,1,202217,202302,592.49813333333317533383111111,592.49813333333317533383111109,592.49813333333317533383111111,592.49813333333317533383111111,True,TapOnHeldLongNote,False,True,False,False,D4BAC1EEBFF4DEC2C2D3E9B0030C3EE993F1BA8EF1C34E01C56F504CA4CA17DB,D427CDA0CC46896DA6620498D4110794D2D58B404A8C3D55B5B5CA910D35AA13,572827FE9A66458F57EB944D2904021D03B77A14162AAECEA3AB70A723BF53D3,764D6EB77C29429E7756BF00AA991B7B5E38207C66BED0D1EC9F0630F5F69493,5002,5002,,,,False,False,False,False,PROVEN_EXACT_REPLAY
"02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB",11,control,SAFE-356E41BC2928AFCBB27AF4F9,TapOnHeldLongNote,LegacyDownstream,OracleOrSemanticMismatch,MUT-00005222-88309CEC01C01356A01B,5222,"OP-00004283-BaseHead-S4283-T215683-ANA","L2|T215683|ETAP|Tap|S4283|ONone|YFalse",,"L6|T215683|ETAP|Tap|S4283|OHeadOpportunity|YTrue",6,Tap,215683,GEN-C98284A6FDD9ADFDA2593EF4,6,215598,215683,631.74906666666649820024888889,631.74906666666649820024888887,631.74906666666649820024888889,631.74906666666649820024888889,True,TapOnHeldLongNote,False,True,False,False,A49DDCDFB809EE42E9496E59A9812604491A8D1862C297ECA50C85FB452DB410,48D3528AFDC5114561FA889EF2CD84DA8583E980B2428FBDBE1AAE2AE17E1A20,B04B6B7110889A771DB0F8B5B2C72C209EA8C3DD495BA0C3ED4637E8641D7378,1DFC7B62FE4B7FA304C6E3AD44673EE0508FA004CCE2C4999B18793D5B61FABA,5447,5447,,,,False,False,False,False,PROVEN_EXACT_REPLAY
"02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB",11,control,SAFE-935C732E4C84CDA3C946D3A9,TapOnHeldLongNote,LegacyDownstream,OracleOrSemanticMismatch,MUT-00005430-6F19FDD6AE6FF6F2BEA8,5430,"OP-00004455-BaseHead-S4455-T221819-ANA","L3|T221819|ETAP|Tap|S4455|ONone|YFalse",,"L2|T221819|ETAP|Tap|S4455|OHeadOpportunity|YTrue",2,Tap,221819,GEN-85F337118431C368CC114FD2,2,221734,221819,649.74799999999982673386666667,649.74799999999982673386666666,649.74799999999982673386666667,649.74799999999982673386666667,True,TapOnHeldLongNote,False,True,False,False,CA90D9BF42A7261D1AF279F2DC89E9FB63B55281B77D8E67B67CED2142A0E798,F93CE4D67CDF94DD061E0F06A2AE8784A3B4F6143F172ED2E781EFB94103838F,E765DF40BD141EBB27A2E7C76DC6F2F9BA9D357E9A1C71FEA4AE31B70D3C8B71,361DBB6F5365AC7B0B4A9331CF276BD0846B2277A29DFF768792707A4C483E59,5658,5658,,,,False,False,False,False,PROVEN_EXACT_REPLAY
"02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB",12,control,SAFE-B4DEF6210911274370EC755B,TapOnHeldLongNote,LegacyDownstream,OracleOrSemanticMismatch,MUT-00000178-260DDC20FD0CD83ACA32,178,"OP-00000126-BaseHead-S126-T13950-ANA","L2|T13950|ETAP|Tap|S126|ONone|YFalse",,"L4|T13950|ETAP|Tap|S126|OHeadOpportunity|YTrue",4,Tap,13950,GEN-9D3A7379239CD32D40B14437,4,13609,13950,39.998933333333322666951111111,39.998933333333322666951111110,39.998933333333322666951111111,39.998933333333322666951111111,True,TapOnHeldLongNote,False,True,False,False,9C92BF24753441D7AB122F735199B0CD3E09940CDC4EC516E948CFCB8460E9A4,0729AB8B8CF06D57449AF386EBBFB5A632E73EFB46111B07F8A5CA628D4B4889,B0537D8B89D84C70A6BA398474065BB70D3E06B811410F5674D754EB47E54684,1B3323C357BD47BCABE7C32B405983D2001EF27783B7DC05DF35385CB23C1F65,196,196,,,,False,False,False,False,PROVEN_EXACT_REPLAY
"02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB",12,control,SAFE-CF56B2492A441FF73112A88A,TapOnHeldLongNote,LegacyDownstream,OracleOrSemanticMismatch,MUT-00000192-0690E4F4B697B9F66464,192,"OP-00000135-BaseHead-S135-T14632-ANA","L3|T14632|ETAP|Tap|S135|ONone|YFalse",,"L2|T14632|ETAP|Tap|S135|OHeadOpportunity|YTrue",2,Tap,14632,GEN-09D8B9B4B87414EB9E146EB3,2,14291,14632,41.999466666666655466808888889,41.999466666666655466808888887,41.999466666666655466808888889,41.999466666666655466808888889,True,TapOnHeldLongNote,False,True,False,False,B641E2A93A6AED354E0A660110DC38CE407081B634F0A40244C3E2F21A41D4EB,324AE9746821638D24B34353FD3AF454B657DDAC5A980C4A8B9273AC08FB7D48,13CB27E2C871A1E6E2277010E02F60178CD87E73BB0DFF67F534FBEF9BB7708E,5127BDB7DDB6EE28C43E18951B3F21CF6F382AE43DD265576C322238E9B1A72E,212,212,,,,False,False,False,False,PROVEN_EXACT_REPLAY
"02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB",12,control,SAFE-299AAB9BC240F89D902E6203,TapOnHeldLongNote,LegacyDownstream,OracleOrSemanticMismatch,MUT-00001693-FAFFF69323C89D74E154,1693,"OP-00001379-BaseHead-S1379-T78637-ANA","L2|T78637|ETAP|Tap|S1379|ONone|YFalse",,"L1|T78637|ETAP|Tap|S1379|OHeadOpportunity|YTrue",1,Tap,78637,GEN-7105039510092374576D2A1E,1,78552,78637,229.74746666666660540067555556,229.74746666666660540067555555,229.74746666666660540067555556,229.74746666666660540067555556,True,TapOnHeldLongNote,False,True,False,False,54D2457B9967B0958C7BC1364F124440A0AA69560A3BCEF2788D89B69911383B,1E87EBD0F1FB850A57DC6B293A255923FDF2C6E9639D712397F0DBFE4F91855F,BED07C5DB50946FEDD8C92E2140433720E2DF58E9288679923EC9B6F1DDE37FA,6CF40E3BC7DA0FEAF3BD17BDFA51DD3FAA46A588A7DD3E3A22643603E887AADD,1760,1760,,,,False,False,False,False,PROVEN_EXACT_REPLAY
"02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB",12,control,SAFE-F26F0911FF28A00A46B372C0,TapOnHeldLongNote,LegacyDownstream,OracleOrSemanticMismatch,MUT-00003841-1B7E9F197F25DA711DB4,3841,"OP-00003072-BaseHead-S3072-T163268-ANA","L0|T163268|ETAP|Tap|S3072|ONone|YFalse",,"L2|T163268|ETAP|Tap|S3072|OHeadOpportunity|YTrue",2,Tap,163268,GEN-7C376D00C177447C1EFEA631,2,163183,163268,477.99839999999987253376,477.99839999999987253375999996,477.99839999999987253376,477.99839999999987253376,True,TapOnHeldLongNote,False,True,False,False,A9C35F1C020C6AB25F54DCA48CB4AA4104C483D58BC67D48E4D56CCCE89173BF,42D67F35EFC73C23B4FECEAB9D4CE5B1121965406D881168175A7A26737DFE42,85CE198718B04311C68FE7ECEAA9DDFD14943DC44C9144299796D273AFD9531E,7758E6096B768D1B28C821B01BED650F8176567F0B35299F76B0BD0E76EB326D,4018,4018,,,,False,False,False,False,PROVEN_EXACT_REPLAY
"02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB",12,control,SAFE-877FC65EAD2B01D7BBD8BAF7,TapOnHeldLongNote,LegacyDownstream,OracleOrSemanticMismatch,MUT-00003855-BB69772897F6E6F5C6BD,3855,"OP-00003083-BaseHead-S3083-T163694-ANA","L0|T163694|ETAP|Tap|S3083|ONone|YFalse",,"L6|T163694|ETAP|Tap|S3083|OHeadOpportunity|YTrue",6,Tap,163694,GEN-87EEB6C89D23E0CFF4D93953,6,163609,163694,479.24799999999987220053333333,479.24799999999987220053333331,479.24799999999987220053333333,479.24799999999987220053333333,True,TapOnHeldLongNote,False,True,False,False,E46941F5DA4B6BD579EA73D75B86E3C86CAC0B886FA7510EC22D7A35231CFCCB,271CC77CD325C77B9372C84BF1A07D1835B82D501F8736D4BBA0E0CDA7835261,2FE44DCD95959F09B2CAC2F69C8DACE8696509F4B397E099622C1543078964FF,6500C2E3F123EE2506CB0024E3B3803F1070ACF3D49DF6B36CB8F57417A6FC02,4033,4033,,,,False,False,False,False,PROVEN_EXACT_REPLAY
"02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB",12,control,SAFE-356E41BC2928AFCBB27AF4F9,TapOnHeldLongNote,LegacyDownstream,OracleOrSemanticMismatch,MUT-00005241-A9DE1FB2BE9BA62D8A81,5241,"OP-00004283-BaseHead-S4283-T215683-ANA","L2|T215683|ETAP|Tap|S4283|ONone|YFalse",,"L6|T215683|ETAP|Tap|S4283|OHeadOpportunity|YTrue",6,Tap,215683,GEN-4363A5646C2872C4E5C19B59,6,215598,215683,631.74906666666649820024888889,631.74906666666649820024888887,631.74906666666649820024888889,631.74906666666649820024888889,True,TapOnHeldLongNote,False,True,False,False,57EA89009BDAC8F09C7EF9C3945A5987E6252517BE05E42C0C4BD1AC47B76CDD,E047E0A91BEEDE698E534892B95D30D96384E4C02E12A50AE40E78C1B9920784,2E824959A60893326A10F0CE55561F33B1E7DDBAEA3B52807FF57BFF7E32E45B,7971AB17E59A94CEFE6A76E5D5DE41F44BEF02AD81A3FE7E15F583BEAF219CFD,5468,5468,,,,False,False,False,False,PROVEN_EXACT_REPLAY
"02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB",13,control,SAFE-33C011315E48816573B88CB2,TapOnHeldLongNote,LegacyDownstream,OracleOrSemanticMismatch,MUT-00000247-5B168AA1733B2AA83224,247,"OP-00000182-BaseHead-S182-T18382-ANA","L1|T18382|ETAP|Tap|S182|ONone|YFalse",,"L6|T18382|ETAP|Tap|S182|OHeadOpportunity|YTrue",6,Tap,18382,GEN-0AC76A16CC1783DFFC330BE8,6,18041,18382,52.999466666666652533475555556,52.999466666666652533475555551,52.999466666666652533475555556,52.999466666666652533475555556,True,TapOnHeldLongNote,False,True,False,False,28645A5F73501A0F455D48D5EACFCC5BD7DA94A292A88D9100DE71250C0CF36F,E3D6CD8C91BA4B21471FA895119B8CF1DF46C5E1EF1EABBDFF0F80D69E538C69,EA85E5E5F8048738B8821B8C0CD8166066DF9C22C0036900DD4B1B89AD08F3E4,21E48A79235E6CF06DCF27114B0E941DCC3D528AD44A8187ED7CB5D2EA5983F6,273,273,,,,False,False,False,False,PROVEN_EXACT_REPLAY
