family_key,relative_path,version,key_count,mode,targets,target_present,legal_target_any_lane,legal_target_original_lane,structural_twins,no_duplicate,same_head,materialization,other,multiple,improved,worsened,tie,not_evaluable,mean_delta,mean_log_ratio,legacy_top1,unique_top1,legacy_mean_rank,unique_mean_rank,legacy_mean_normalized_weight,unique_mean_normalized_weight,agreements,evidence_paths,independent_witnesses,duplicate_paths,elapsed_ms
"-45 | MIDORIGO QUEEN BEE | ITZBENJA616","ManiaAddNotesLab-932f92eec34b42a0bbe1ef0b2ede4d5c/-45 - Midorigo Queen Bee (ItzBenja616) [Sooth].osu","Sooth",7,LeaveOneObjectOut,21,6,6,6,2,19,2,0,0,0,0,2,4,15,-0.05291005291,-0.083771476094,2,2,2.666666666667,2.666666666667,0.312632275132,0.259722222222,2,73,71,2,199.7815
"-45 | MIDORIGO QUEEN BEE | ITZBENJA616","ManiaAddNotesLab-932f92eec34b42a0bbe1ef0b2ede4d5c/-45 - Midorigo Queen Bee (ItzBenja616) [Sooth].osu","Sooth",7,LeaveOneHeadGroupOut,21,4,4,4,2,21,0,0,0,0,0,0,4,17,0,0,0,0,3.5,3.5,0.111805555556,0.111805555556,0,69,69,0,134.552
"A-ONE | SIDE BY SIDE | KURISU MAKISE","ManiaAddNotesLab-f5a5b697431649b9bf70ce8289507356/A-One - Side by Side (Kurisu Makise) [Lunatic].osu","Lunatic",10,LeaveOneObjectOut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,,0,0,0,0,97.1829
"A-ONE | SIDE BY SIDE | KURISU MAKISE","ManiaAddNotesLab-f5a5b697431649b9bf70ce8289507356/A-One - Side by Side (Kurisu Makise) [Lunatic].osu","Lunatic",10,LeaveOneHeadGroupOut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,,0,0,0,0,76.3803
"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO","ManiaAddNotesLab-824fc52bd41e4a9186d385ad3f715838/Akatsuki Records - Mizuiro Raindrop ([GB]V1do) [Lunat1c (Cut ver.)].osu","Lunat1c (Cut ver.)",4,LeaveOneObjectOut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,,0,0,0,0,43.5297
"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO","ManiaAddNotesLab-824fc52bd41e4a9186d385ad3f715838/Akatsuki Records - Mizuiro Raindrop ([GB]V1do) [Lunat1c (Cut ver.)].osu","Lunat1c (Cut ver.)",4,LeaveOneHeadGroupOut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,,0,0,0,0,59.1132
"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018","ManiaAddNotesLab-08255ad9b6104a4bac32bcbc4a445ed5/BUTAOTOME - Hakanaki Mono Ningen (YuEast 2018) [fake].osu","fake",4,LeaveOneObjectOut,1570,1495,1491,1491,148,1422,148,0,0,0,677,130,684,79,0.004706269896,0.026653118495,561,582,2.338028169014,2.294433266264,0.338244824622,0.342951094519,1630,66365,64735,1630,2155.4565
"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018","ManiaAddNotesLab-08255ad9b6104a4bac32bcbc4a445ed5/BUTAOTOME - Hakanaki Mono Ningen (YuEast 2018) [fake].osu","fake",4,LeaveOneHeadGroupOut,1570,1485,1481,1481,148,1570,0,0,0,0,0,0,1481,89,0,0,615,615,2.265361242404,2.265361242404,0.347328768057,0.347328768057,0,63100,63100,0,1772.3922
"KIKUO | KARA KARA KARA NO KARA | XNETT","ManiaAddNotesLab-3dda05e77fb04c549bcf02b2d695642f/Kikuo - Kara Kara Kara no Kara (xNett) [Karanival!].osu","Karanival!",7,LeaveOneObjectOut,3958,3568,2942,2619,1238,2720,1238,0,0,0,835,967,1140,1016,-0.015610790082,-0.051878696597,1087,1028,3.217878993882,3.325628823929,0.256615116915,0.241004326833,4790,230660,225870,4790,25310.1736
"KIKUO | KARA KARA KARA NO KARA | XNETT","ManiaAddNotesLab-3dda05e77fb04c549bcf02b2d695642f/Kikuo - Kara Kara Kara no Kara (xNett) [Karanival!].osu","Karanival!",7,LeaveOneHeadGroupOut,3958,3467,2867,2555,1238,3958,0,0,0,0,0,0,2867,1091,0,0,851,851,3.536798046739,3.536798046739,0.222743636573,0.222743636573,0,221063,221063,0,24894.2711
