scenario,left_hash,right_hash,hash_equal,semantic_candidate_count,expected
permutation,dc127d2a0a1ff9dda0f08114cd27a984f8b420768b3efd43f6012d66f162327a,dc127d2a0a1ff9dda0f08114cd27a984f8b420768b3efd43f6012d66f162327a,true,2,true
candidate_change_same_id,dc127d2a0a1ff9dda0f08114cd27a984f8b420768b3efd43f6012d66f162327a,e77bd09ef6c74589f30be804973e6799f6e1a61e60a6f8a9dec9aa509e9adb7d,false,2,false
alias_metadata_change,dc127d2a0a1ff9dda0f08114cd27a984f8b420768b3efd43f6012d66f162327a,dc127d2a0a1ff9dda0f08114cd27a984f8b420768b3efd43f6012d66f162327a,true,2,true
semantic_alias_dedup,5b0f6bfac89fb738536128acc1d06241730139d09d95ee375aedcb7700cd32f2,5b0f6bfac89fb738536128acc1d06241730139d09d95ee375aedcb7700cd32f2,true,1,true
