disposition,raw_donor_occurrences,distinct_center_tokens,occurrences_per_center,count,charts_present,families_present,keymodes_present
Ambiguous,32,12,"1;1;1;2;2;2;2;2;3;3;5;8",4,1,1,"10"
Ambiguous,32,13,"1;1;1;1;2;2;2;2;2;3;3;4;8",5,1,1,"10"
Ambiguous,32,13,"1;1;1;1;1;2;2;2;2;3;3;5;8",10,1,1,"10"
Ambiguous,32,13,"1;1;1;1;2;2;2;2;2;2;3;5;8",6,1,1,"10"
Ambiguous,32,13,"1;1;1;1;2;2;2;2;2;3;3;5;7",8,1,1,"10"
Ambiguous,34,12,"1;1;1;2;2;2;2;3;3;5;6;6",4,1,1,"10"
Ambiguous,34,13,"1;1;1;1;2;2;2;2;3;3;4;6;6",5,1,1,"10"
Ambiguous,34,13,"1;1;1;1;2;2;2;2;3;3;5;5;6",12,1,1,"10"
Ambiguous,34,13,"1;1;1;1;1;2;2;2;3;3;5;6;6",8,1,1,"10"
Ambiguous,34,13,"1;1;1;1;2;2;2;2;2;3;5;6;6",6,1,1,"10"
Ambiguous,35,18,"1;1;1;1;1;1;1;2;2;2;2;2;2;3;3;3;3;4",8,1,1,"7"
Ambiguous,35,19,"1;1;1;1;1;1;1;1;1;2;2;2;2;2;3;3;3;3;4",12,1,1,"7"
Ambiguous,35,19,"1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;3;3;3;4",12,1,1,"7"
Ambiguous,35,19,"1;1;1;1;1;1;1;1;2;2;2;2;2;2;3;3;3;3;3",4,1,1,"7"
Ambiguous,36,17,"1;1;1;1;1;1;1;2;2;2;2;2;3;3;3;4;6",8,1,1,"7"
Ambiguous,36,18,"1;1;1;1;1;1;1;1;2;2;2;2;2;3;3;3;3;6",4,1,1,"7"
Ambiguous,36,18,"1;1;1;1;1;1;1;1;2;2;2;2;2;3;3;3;4;5",6,1,1,"7"
Ambiguous,36,18,"1;1;1;1;1;1;1;1;2;2;2;2;2;2;3;3;4;6",9,1,1,"7"
Ambiguous,36,18,"1;1;1;1;1;1;1;1;1;2;2;2;2;3;3;3;4;6",10,1,1,"7"
Ambiguous,39,18,"1;1;1;1;1;1;2;2;2;2;2;2;2;2;3;3;4;7",7,1,1,"7"
Ambiguous,39,19,"1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;3;4;7",6,1,1,"7"
Ambiguous,39,19,"1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;3;3;4;7",16,1,1,"7"
Ambiguous,39,19,"1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;3;3;3;7",4,1,1,"7"
Ambiguous,39,19,"1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;3;3;4;6",7,1,1,"7"
Ambiguous,45,18,"1;1;1;1;1;1;1;1;1;2;2;3;3;3;4;5;6;8",10,1,1,"7"
Ambiguous,45,19,"1;1;1;1;1;1;1;1;1;1;2;2;3;3;3;3;5;6;8",4,1,1,"7"
Ambiguous,45,19,"1;1;1;1;1;1;1;1;1;1;2;2;3;3;3;4;5;6;7",8,1,1,"7"
Ambiguous,45,19,"1;1;1;1;1;1;1;1;1;1;2;2;2;3;3;4;5;6;8",9,1,1,"7"
Ambiguous,45,19,"1;1;1;1;1;1;1;1;1;1;2;2;3;3;3;4;4;6;8",5,1,1,"7"
Ambiguous,45,19,"1;1;1;1;1;1;1;1;1;1;2;2;3;3;3;4;5;5;8",6,1,1,"7"
Ambiguous,45,19,"1;1;1;1;1;1;1;1;1;1;1;2;3;3;3;4;5;6;8",4,1,1,"7"
Ambiguous,53,4,"1;6;23;23",2,1,1,"4"
Ambiguous,53,5,"1;1;6;22;23",46,1,1,"4"
Ambiguous,53,5,"1;1;5;23;23",6,1,1,"4"
Ambiguous,57,4,"2;6;22;27",1,1,1,"4"
Ambiguous,57,5,"1;1;6;22;27",2,1,1,"4"
Ambiguous,57,5,"1;2;6;22;26",27,1,1,"4"
Ambiguous,57,5,"1;2;6;21;27",22,1,1,"4"
Ambiguous,57,5,"1;2;5;22;27",6,1,1,"4"
Ambiguous,67,3,"8;29;30",1,1,1,"4"
Ambiguous,67,4,"1;7;29;30",8,1,1,"4"
Ambiguous,67,4,"1;8;28;30",29,1,1,"4"
Ambiguous,67,4,"1;8;29;29",30,1,1,"4"
Ambiguous,68,3,"11;28;29",1,1,1,"4"
Ambiguous,68,4,"1;10;28;29",11,1,1,"4"
Ambiguous,68,4,"1;11;27;29",28,1,1,"4"
Ambiguous,68,4,"1;11;28;28",29,1,1,"4"
Ambiguous,70,5,"1;2;5;29;33",2,1,1,"4"
Ambiguous,70,6,"1;1;1;5;29;33",2,1,1,"4"
Ambiguous,70,6,"1;1;2;5;28;33",29,1,1,"4"
Ambiguous,70,6,"1;1;2;5;29;32",33,1,1,"4"
Ambiguous,70,6,"1;1;2;4;29;33",5,1,1,"4"
Ambiguous,73,6,"1;2;4;6;26;34",2,1,1,"4"
Ambiguous,73,7,"1;1;2;3;6;26;34",4,1,1,"4"
Ambiguous,73,7,"1;1;1;4;6;26;34",2,1,1,"4"
Ambiguous,73,7,"1;1;2;4;6;25;34",26,1,1,"4"
Ambiguous,73,7,"1;1;2;4;6;26;33",34,1,1,"4"
Ambiguous,73,7,"1;1;2;4;5;26;34",6,1,1,"4"
Ambiguous,97,5,"1;1;21;34;40",3,1,1,"4"
Ambiguous,97,6,"1;1;1;20;34;40",21,1,1,"4"
Ambiguous,97,6,"1;1;1;21;34;39",40,1,1,"4"
Ambiguous,97,6,"1;1;1;21;33;40",34,1,1,"4"
Ambiguous,102,5,"1;1;22;36;42",3,1,1,"4"
Ambiguous,102,6,"1;1;1;21;36;42",22,1,1,"4"
Ambiguous,102,6,"1;1;1;22;36;41",42,1,1,"4"
Ambiguous,102,6,"1;1;1;22;35;42",36,1,1,"4"
Ambiguous,122,4,"1;13;54;54",2,1,1,"4"
Ambiguous,122,5,"1;1;12;54;54",13,1,1,"4"
Ambiguous,122,5,"1;1;14;49;57",3,1,1,"4"
Ambiguous,122,5,"1;1;13;53;54",108,1,1,"4"
Ambiguous,122,6,"1;1;1;13;49;57",14,1,1,"4"
Ambiguous,122,6,"1;1;1;14;49;56",57,1,1,"4"
Ambiguous,122,6,"1;1;1;14;48;57",49,1,1,"4"
Ambiguous,123,3,"16;50;57",1,1,1,"4"
Ambiguous,123,4,"1;15;50;57",16,1,1,"4"
Ambiguous,123,4,"1;16;49;57",50,1,1,"4"
Ambiguous,123,4,"1;16;50;56",57,1,1,"4"
Ambiguous,126,4,"2;17;48;59",1,1,1,"4"
Ambiguous,126,5,"1;2;16;48;59",17,1,1,"4"
Ambiguous,126,5,"1;1;17;48;59",2,1,1,"4"
Ambiguous,126,5,"1;2;17;47;59",48,1,1,"4"
Ambiguous,126,5,"1;2;17;48;58",59,1,1,"4"
Mismatch,1,1,"1",1251,11,11,"4;7;10"
Mismatch,2,1,"2",156,10,10,"4;7;10"
Mismatch,3,1,"3",27,10,10,"4;7;10"
Mismatch,4,1,"4",11,6,6,"4;7;10"
Mismatch,5,1,"5",5,4,4,"4;7"
Mismatch,7,1,"7",1,1,1,"4"
NoContext,0,0,"",16224,11,11,"4;7;10"
