family_key,relative_path,version,key_count,charts,view,total_trials,baseline_competing_trials,primary_baseline_alternatives_sum,primary_contextual_alternatives_sum,primary_baseline_alternatives_mean,primary_contextual_alternatives_mean,no_comparable_exact_context,comparable_target_unsupported,target_supported_still_competing,target_resolved_unique,unique_wrong_completion,primary_no_comparable_exact_context,primary_comparable_target_unsupported,primary_target_supported_still_competing,primary_target_resolved_unique,primary_unique_wrong_completion,exact_target_supported,lane_supported_but_type_different,contextual_witness_references,target_group_leakage,future_held_leakage,held_tail_encoded_as_head,donor_nesting_violations,beat_ms_materialization_differences,context_build_ms,exact_match_ms,detailed_artifact_bytes,micro_coverage_rate,micro_target_supported_rate,primary_resolution_rate,macro_family_coverage_rate,macro_family_primary_resolution_rate
"-45 | MIDORIGO QUEEN BEE | ITZBENJA616","ManiaAddNotesLab-932f92eec34b42a0bbe1ef0b2ede4d5c/-45 - Midorigo Queen Bee (ItzBenja616) [Sooth].osu","Sooth",7,1,ReducedOnly,4218,4162,21589,21589,5.187169629986,5.187169629986,15,16,4162,14,11,0,0,4162,0,0,4176,215,442052,0,0,0,0,0,443.7171,400.0038,49429726,0.996443812233,0.990042674253,0,N/A,N/A
"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616","ManiaAddNotesLab-cb69a956fc164cf9a7c21fe1b49dbb13/NJK Record feat. 3L - Spring of Dreams (ItzBenja616) [KNH - Lvl 81 (No SV)] CUSTOM.osu","KNH** - Lvl 81 (No SV) CUSTOM",7,1,ReducedNextTransition,3607,2821,24115,3011,8.548387096774,1.067352002836,2175,281,566,190,395,1433,273,566,180,369,756,41,4382,0,0,0,0,0,202.1932,163.9221,44892454,0.397005822013,0.209592459107,0.063807160581,N/A,N/A
"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616","ManiaAddNotesLab-cb69a956fc164cf9a7c21fe1b49dbb13/NJK Record feat. 3L - Spring of Dreams (ItzBenja616) [KNH - Lvl 81 (No SV)] CUSTOM.osu","KNH** - Lvl 81 (No SV) CUSTOM",7,1,ReducedPrevNext,3607,2821,24115,325,8.548387096774,0.115207373272,3332,18,27,123,107,2553,18,27,119,104,150,0,364,0,0,0,0,0,202.1932,163.9221,44892454,0.076240643194,0.041585805378,0.042183622829,N/A,N/A
"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616","ManiaAddNotesLab-cb69a956fc164cf9a7c21fe1b49dbb13/NJK Record feat. 3L - Spring of Dreams (ItzBenja616) [KNH - Lvl 81 (No SV)] CUSTOM.osu","KNH** - Lvl 81 (No SV) CUSTOM",7,1,ReducedHeldPrevNext,3607,2821,24115,77,8.548387096774,0.02729528536,3525,0,0,74,8,2744,0,0,70,7,74,0,82,0,0,0,0,0,202.1932,163.9221,44892454,0.022733573607,0.020515663987,0.024813895782,N/A,N/A
"NMK&WATHUE | CELESTIAL AXES | WONKI","ManiaAddNotesLab-e0a90265f66f4602a029ae018f756893/nmk&wathue - Celestial Axes (Wonki) [Insane].osu","Insane",7,1,ReducedOnly,2660,2515,11718,11718,4.659244532803,4.659244532803,35,47,2515,47,16,0,0,2515,0,0,2562,117,133946,0,0,0,0,0,90.9779,163.4559,31547407,0.986842105263,0.963157894737,0,N/A,N/A
"NMK&WATHUE | CELESTIAL AXES | WONKI","ManiaAddNotesLab-e0a90265f66f4602a029ae018f756893/nmk&wathue - Celestial Axes (Wonki) [Insane].osu","Insane",7,1,ReducedHeld,2660,2515,11718,10792,4.659244532803,4.291053677932,69,55,2429,73,34,20,23,2429,26,17,2502,62,113786,0,0,0,0,0,90.9779,163.4559,31547407,0.974060150376,0.940601503759,0.010337972167,N/A,N/A
"NMK&WATHUE | CELESTIAL AXES | WONKI","ManiaAddNotesLab-e0a90265f66f4602a029ae018f756893/nmk&wathue - Celestial Axes (Wonki) [Insane].osu","Insane",7,1,ReducedPrevious,2660,2515,11718,3299,4.659244532803,1.311729622266,809,132,767,672,280,701,119,767,657,271,1439,16,7634,0,0,0,0,0,90.9779,163.4559,31547407,0.695864661654,0.540977443609,0.261232604374,N/A,N/A
"NMK&WATHUE | CELESTIAL AXES | WONKI","ManiaAddNotesLab-e0a90265f66f4602a029ae018f756893/nmk&wathue - Celestial Axes (Wonki) [Insane].osu","Insane",7,1,ReducedPreviousTransition,2660,2515,11718,2005,4.659244532803,0.797216699801,1430,80,373,539,238,1306,73,373,530,233,912,9,3792,0,0,0,0,0,90.9779,163.4559,31547407,0.462406015038,0.342857142857,0.210735586481,N/A,N/A
"NMK&WATHUE | CELESTIAL AXES | WONKI","ManiaAddNotesLab-e0a90265f66f4602a029ae018f756893/nmk&wathue - Celestial Axes (Wonki) [Insane].osu","Insane",7,1,ReducedNext,2660,2515,11718,3384,4.659244532803,1.345526838966,813,117,837,647,246,694,110,837,636,238,1484,9,7676,0,0,0,0,0,90.9779,163.4559,31547407,0.694360902256,0.557894736842,0.252882703777,N/A,N/A
"NMK&WATHUE | CELESTIAL AXES | WONKI","ManiaAddNotesLab-e0a90265f66f4602a029ae018f756893/nmk&wathue - Celestial Axes (Wonki) [Insane].osu","Insane",7,1,ReducedNextTransition,2660,2515,11718,2120,4.659244532803,0.842942345924,1370,100,428,530,232,1241,94,428,523,229,958,4,3854,0,0,0,0,0,90.9779,163.4559,31547407,0.484962406015,0.36015037594,0.207952286282,N/A,N/A
"NMK&WATHUE | CELESTIAL AXES | WONKI","ManiaAddNotesLab-e0a90265f66f4602a029ae018f756893/nmk&wathue - Celestial Axes (Wonki) [Insane].osu","Insane",7,1,ReducedPrevNext,2660,2515,11718,441,4.659244532803,0.175347912525,2298,19,54,190,99,2156,18,54,190,97,244,0,568,0,0,0,0,0,90.9779,163.4559,31547407,0.136090225564,0.091729323308,0.075546719682,N/A,N/A
"NMK&WATHUE | CELESTIAL AXES | WONKI","ManiaAddNotesLab-e0a90265f66f4602a029ae018f756893/nmk&wathue - Celestial Axes (Wonki) [Insane].osu","Insane",7,1,ReducedHeldPrevNext,2660,2515,11718,362,4.659244532803,0.14393638171,2343,9,36,192,80,2198,9,36,192,80,228,0,452,0,0,0,0,0,90.9779,163.4559,31547407,0.119172932331,0.085714285714,0.07634194831,N/A,N/A
"NOWISEE | KO INU | RUKA","ManiaAddNotesLab-c81deb37e7374b3fbe1da9cbf9a63eec/nowisee - Ko Inu (ruka) [aphotic].osu","aphotic",7,1,ReducedOnly,4599,3466,30840,30840,8.897864974033,8.897864974033,203,573,3466,137,220,0,0,3466,0,0,3603,3158,213882,0,0,0,0,0,290.2053,194.0634,58097960,0.955859969559,0.783431180691,0,N/A,N/A
"NOWISEE | KO INU | RUKA","ManiaAddNotesLab-c81deb37e7374b3fbe1da9cbf9a63eec/nowisee - Ko Inu (ruka) [aphotic].osu","aphotic",7,1,ReducedHeld,4599,3466,30840,5061,8.897864974033,1.460184650894,1729,415,935,855,665,901,380,935,757,493,1790,803,8364,0,0,0,0,0,290.2053,194.0634,58097960,0.62404870624,0.389215046749,0.218407386036,N/A,N/A
"NOWISEE | KO INU | RUKA","ManiaAddNotesLab-c81deb37e7374b3fbe1da9cbf9a63eec/nowisee - Ko Inu (ruka) [aphotic].osu","aphotic",7,1,ReducedPrevious,4599,3466,30840,2689,8.897864974033,0.775822273514,2719,257,348,652,623,1804,226,348,588,500,1000,274,3746,0,0,0,0,0,290.2053,194.0634,58097960,0.408784518374,0.217438573603,0.169648009233,N/A,N/A
"NOWISEE | KO INU | RUKA","ManiaAddNotesLab-c81deb37e7374b3fbe1da9cbf9a63eec/nowisee - Ko Inu (ruka) [aphotic].osu","aphotic",7,1,ReducedPreviousTransition,4599,3466,30840,839,8.897864974033,0.242065781881,3848,52,56,319,324,2800,51,56,286,273,375,78,1014,0,0,0,0,0,290.2053,194.0634,58097960,0.163296368776,0.081539465101,0.082515868436,N/A,N/A
"NOWISEE | KO INU | RUKA","ManiaAddNotesLab-c81deb37e7374b3fbe1da9cbf9a63eec/nowisee - Ko Inu (ruka) [aphotic].osu","aphotic",7,1,ReducedNext,4599,3466,30840,2871,8.897864974033,0.82833237161,2702,249,403,682,563,1756,231,403,610,466,1085,325,3926,0,0,0,0,0,290.2053,194.0634,58097960,0.412480974125,0.235920852359,0.175995383728,N/A,N/A
"NOWISEE | KO INU | RUKA","ManiaAddNotesLab-c81deb37e7374b3fbe1da9cbf9a63eec/nowisee - Ko Inu (ruka) [aphotic].osu","aphotic",7,1,ReducedNextTransition,4599,3466,30840,968,8.897864974033,0.279284477784,3764,94,73,348,320,2706,91,73,315,281,421,98,1152,0,0,0,0,0,290.2053,194.0634,58097960,0.181561208958,0.091541639487,0.090882862089,N/A,N/A
"NOWISEE | KO INU | RUKA","ManiaAddNotesLab-c81deb37e7374b3fbe1da9cbf9a63eec/nowisee - Ko Inu (ruka) [aphotic].osu","aphotic",7,1,ReducedPrevNext,4599,3466,30840,146,8.897864974033,0.042123485286,4424,3,0,144,28,3323,3,0,118,22,144,6,178,0,0,0,0,0,290.2053,194.0634,58097960,0.038051750381,0.031311154599,0.034045008656,N/A,N/A
"NOWISEE | KO INU | RUKA","ManiaAddNotesLab-c81deb37e7374b3fbe1da9cbf9a63eec/nowisee - Ko Inu (ruka) [aphotic].osu","aphotic",7,1,ReducedHeldPrevNext,4599,3466,30840,122,8.897864974033,0.035199076746,4454,3,0,140,2,3347,3,0,114,2,140,4,148,0,0,0,0,0,290.2053,194.0634,58097960,0.031528593172,0.030441400304,0.032890940565,N/A,N/A
"ORGT | DESTINY | BAIO","ManiaAddNotesLab-64eca68cb6f6401a8fbd4034d5a921ea/orgT - DESTINY (Baio) [Insane].osu","Insane",7,1,ReducedOnly,1302,1096,8399,8399,7.663321167883,7.663321167883,35,101,1096,17,53,0,0,1096,0,0,1113,618,56602,0,0,0,0,0,42.1139,58.4596,15106224,0.97311827957,0.854838709677,0,N/A,N/A
"ORGT | DESTINY | BAIO","ManiaAddNotesLab-64eca68cb6f6401a8fbd4034d5a921ea/orgT - DESTINY (Baio) [Insane].osu","Insane",7,1,ReducedHeld,1302,1096,8399,4322,7.663321167883,3.943430656934,177,108,811,86,120,91,64,811,78,52,897,175,26576,0,0,0,0,0,42.1139,58.4596,15106224,0.864055299539,0.688940092166,0.071167883212,N/A,N/A
"ORGT | DESTINY | BAIO","ManiaAddNotesLab-64eca68cb6f6401a8fbd4034d5a921ea/orgT - DESTINY (Baio) [Insane].osu","Insane",7,1,ReducedPrevious,1302,1096,8399,1295,7.663321167883,1.181569343066,591,65,283,236,127,417,58,283,236,102,519,51,3060,0,0,0,0,0,42.1139,58.4596,15106224,0.546082949309,0.398617511521,0.215328467153,N/A,N/A
"ORGT | DESTINY | BAIO","ManiaAddNotesLab-64eca68cb6f6401a8fbd4034d5a921ea/orgT - DESTINY (Baio) [Insane].osu","Insane",7,1,ReducedPreviousTransition,1302,1096,8399,662,7.663321167883,0.60401459854,807,41,110,209,135,621,35,110,209,121,319,13,1066,0,0,0,0,0,42.1139,58.4596,15106224,0.380184331797,0.245007680492,0.190693430657,N/A,N/A
"ORGT | DESTINY | BAIO","ManiaAddNotesLab-64eca68cb6f6401a8fbd4034d5a921ea/orgT - DESTINY (Baio) [Insane].osu","Insane",7,1,ReducedNext,1302,1096,8399,1210,7.663321167883,1.10401459854,621,77,242,235,127,449,70,242,233,102,477,49,2530,0,0,0,0,0,42.1139,58.4596,15106224,0.523041474654,0.366359447005,0.212591240876,N/A,N/A
"ORGT | DESTINY | BAIO","ManiaAddNotesLab-64eca68cb6f6401a8fbd4034d5a921ea/orgT - DESTINY (Baio) [Insane].osu","Insane",7,1,ReducedNextTransition,1302,1096,8399,571,7.663321167883,0.52098540146,866,28,93,199,116,671,28,93,199,105,292,12,858,0,0,0,0,0,42.1139,58.4596,15106224,0.334869431644,0.224270353303,0.181569343066,N/A,N/A
"ORGT | DESTINY | BAIO","ManiaAddNotesLab-64eca68cb6f6401a8fbd4034d5a921ea/orgT - DESTINY (Baio) [Insane].osu","Insane",7,1,ReducedPrevNext,1302,1096,8399,129,7.663321167883,0.117700729927,1183,0,11,87,21,978,0,11,87,20,98,2,178,0,0,0,0,0,42.1139,58.4596,15106224,0.091397849462,0.075268817204,0.079379562044,N/A,N/A
"ORGT | DESTINY | BAIO","ManiaAddNotesLab-64eca68cb6f6401a8fbd4034d5a921ea/orgT - DESTINY (Baio) [Insane].osu","Insane",7,1,ReducedHeldPrevNext,1302,1096,8399,104,7.663321167883,0.094890510949,1203,0,6,82,11,998,0,6,82,10,88,2,136,0,0,0,0,0,42.1139,58.4596,15106224,0.076036866359,0.067588325653,0.074817518248,N/A,N/A
"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA","ManiaAddNotesLab-f5b43f7ecd4c4b3c85e2a5b98daa23ae/Samfree ft. SF-A2 Miki - MikiMiki Romantic Night (Nananana) [Miki Dance].osu","Miki Dance",7,1,ReducedOnly,4027,3829,20104,20104,5.250457038391,5.250457038391,40,51,3829,62,45,0,0,3829,0,0,3891,401,308386,0,0,0,0,0,157.8677,224.772,47667555,0.99006704743,0.966227961261,0,N/A,N/A
"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA","ManiaAddNotesLab-f5b43f7ecd4c4b3c85e2a5b98daa23ae/Samfree ft. SF-A2 Miki - MikiMiki Romantic Night (Nananana) [Miki Dance].osu","Miki Dance",7,1,ReducedHeld,4027,3829,20104,18701,5.250457038391,4.884042831026,92,34,3806,60,35,17,2,3806,4,0,3866,112,300876,0,0,0,0,0,157.8677,224.772,47667555,0.977154209089,0.960019865905,0.00104465918,N/A,N/A
"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA","ManiaAddNotesLab-f5b43f7ecd4c4b3c85e2a5b98daa23ae/Samfree ft. SF-A2 Miki - MikiMiki Romantic Night (Nananana) [Miki Dance].osu","Miki Dance",7,1,ReducedPrevious,4027,3829,20104,6461,5.250457038391,1.687385740402,828,295,1702,790,412,690,283,1702,757,397,2492,34,13868,0,0,0,0,0,157.8677,224.772,47667555,0.794387881798,0.61882294512,0.197701749804,N/A,N/A
"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA","ManiaAddNotesLab-f5b43f7ecd4c4b3c85e2a5b98daa23ae/Samfree ft. SF-A2 Miki - MikiMiki Romantic Night (Nananana) [Miki Dance].osu","Miki Dance",7,1,ReducedPreviousTransition,4027,3829,20104,2132,5.250457038391,0.556803342909,2345,103,321,720,538,2178,100,321,698,532,1041,2,2792,0,0,0,0,0,157.8677,224.772,47667555,0.417680655575,0.258505090638,0.1822930269,N/A,N/A
"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA","ManiaAddNotesLab-f5b43f7ecd4c4b3c85e2a5b98daa23ae/Samfree ft. SF-A2 Miki - MikiMiki Romantic Night (Nananana) [Miki Dance].osu","Miki Dance",7,1,ReducedNext,4027,3829,20104,6243,5.250457038391,1.630451815095,801,260,1607,898,461,687,246,1607,855,434,2505,19,13852,0,0,0,0,0,157.8677,224.772,47667555,0.801092624783,0.622051154706,0.223295899713,N/A,N/A
"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA","ManiaAddNotesLab-f5b43f7ecd4c4b3c85e2a5b98daa23ae/Samfree ft. SF-A2 Miki - MikiMiki Romantic Night (Nananana) [Miki Dance].osu","Miki Dance",7,1,ReducedNextTransition,4027,3829,20104,2099,5.250457038391,0.548184904675,2307,86,295,768,571,2156,83,295,743,552,1063,2,2766,0,0,0,0,0,157.8677,224.772,47667555,0.427116960517,0.263968214552,0.194045442674,N/A,N/A
"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA","ManiaAddNotesLab-f5b43f7ecd4c4b3c85e2a5b98daa23ae/Samfree ft. SF-A2 Miki - MikiMiki Romantic Night (Nananana) [Miki Dance].osu","Miki Dance",7,1,ReducedPrevNext,4027,3829,20104,282,5.250457038391,0.073648472186,3742,0,4,203,78,3551,0,4,199,75,207,0,352,0,0,0,0,0,157.8677,224.772,47667555,0.070772287062,0.051403029551,0.051971794202,N/A,N/A
"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA","ManiaAddNotesLab-f5b43f7ecd4c4b3c85e2a5b98daa23ae/Samfree ft. SF-A2 Miki - MikiMiki Romantic Night (Nananana) [Miki Dance].osu","Miki Dance",7,1,ReducedHeldPrevNext,4027,3829,20104,282,5.250457038391,0.073648472186,3742,0,4,203,78,3551,0,4,199,75,207,0,352,0,0,0,0,0,157.8677,224.772,47667555,0.070772287062,0.051403029551,0.051971794202,N/A,N/A
