chart_id,seed,control_hard,treatment_hard,attributable_introduced,unattributable,serialization_unattributable,provenance_validation_failures
20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,8,6,6,0,0,0,0
20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,9,10,10,0,0,0,0
20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,10,2,2,0,0,0,0
20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,11,4,3,0,1,0,0
20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,12,6,6,0,0,0,0
20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,13,5,5,0,0,0,0
20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,14,8,8,0,0,0,0
20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,15,7,7,0,0,0,0
20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,16,10,10,0,0,0,0
20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,17,7,7,0,0,0,0
20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,18,13,13,0,0,0,0
20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,19,3,3,0,0,0,0
20651C9B11DBB0D7BA2D64A8F167577AE0452762EEA83C5A7558BA89B8D2C788,20,3,3,0,0,0,0
322F995448A73713DCBECE3D140F4D516EF687DBC43CC140CFF14948566F906B,1,0,0,0,0,0,0
322F995448A73713DCBECE3D140F4D516EF687DBC43CC140CFF14948566F906B,2,0,0,0,0,0,0
322F995448A73713DCBECE3D140F4D516EF687DBC43CC140CFF14948566F906B,3,0,0,0,0,0,0
