family_key,key_count,charts,pair_trials,reduced_only_comparable,reduced_only_joint,reduced_only_absent,reduced_only_no_context,target_marginal_only_rate
"-45 | MIDORIGO QUEEN BEE | ITZBENJA616",7,1,4373,4370,4309,61,3,0.005716899154
"A-ONE | SIDE BY SIDE | KURISU MAKISE",10,1,2192,2165,1994,171,27,0.04197080292
"AKATSUKI RECORDS | MIZUIRO RAINDROP | [GB]V1DO",4,1,612,612,612,0,0,0
"BUTAOTOME | HAKANAKI MONO NINGEN | YUEAST 2018",4,1,1030,1030,1016,14,0,0.009708737864
"KIKUO | KARA KARA KARA NO KARA | XNETT",7,1,7967,7773,6538,1235,194,0.118865319443
"MORO | HOLY BITCH | ITZBENJA616",7,1,8734,8734,8689,45,0,0.005152278452
"NJK RECORD FEAT. 3L | SPRING OF DREAMS | ITZBENJA616",7,1,3505,3328,2432,896,177,0.144935805991
"NMK&WATHUE | CELESTIAL AXES | WONKI",7,1,3091,3062,2934,128,29,0.026852151407
"NOWISEE | KO INU | RUKA",7,1,4983,4862,3420,1442,121,0.191049568533
"ORGT | DESTINY | BAIO",7,1,1021,1006,822,184,15,0.130264446621
"SAMFREE FT. SF-A2 MIKI | MIKIMIKI ROMANTIC NIGHT | NANANANA",7,1,4540,4532,4346,186,8,0.025991189427
